Tên đối tác,Dòng nhạc,Team sử dụng,Số bài hát,Đơn vị tiền tệ,CP tháng 1,CP tháng 2,CP tháng 3,CP tháng 4,CP tháng 5,CP tháng 6,CP tháng 7,CP tháng 8,CP tháng 9,CP tháng 10,CP tháng 11,CP tháng 12,Total năm,_year,_source_id,_source_sheet,_batch_id,_loaded_at
Lucid Plain,DEEP HOUSE,"","","",0,0,0,0,0,0,0,0,0,0,0,0,0,2024,purchase_cost,,purchase_cost_20260701_082202,2026-07-01 08:22:02.444688
HalidonMusic,Classical,"","",VND,0,0,0,0,0,0,0,0,0,0,0,0,0,2025,purchase_cost,,purchase_cost_20260701_082202,2026-07-01 08:22:02.444688
Frequency,DEEP HOUSE,"Red One, An Tuệ, Vibe, Bình Hào, MKT 4","",VND,0,15.600.000,0,0,0,0,0,15.729.740,0,0,0,0,31.329.740,2024,purchase_cost,,purchase_cost_20260701_082202,2026-07-01 08:22:02.444688
Tipsy,DEEP HOUSE,"","","",0,0,0,0,0,0,0,0,0,0,0,0,0,2024,purchase_cost,,purchase_cost_20260701_082202,2026-07-01 08:22:02.444688
Mark Music Records,DEEP HOUSE,"","",VND,13.000.000,13.000.000,13.000.000,13.000.000,13.000.000,13.000.000,0,0,0,0,0,0,78.000.000,2024,purchase_cost,,purchase_cost_20260701_082202,2026-07-01 08:22:02.444688
Denys Demchuk,Relax chung,MKT 4,"",VND,0,0,0,0,0,1.560.000,0,0,0,1.560.000,0,0,3.120.000,2024,purchase_cost,,purchase_cost_20260701_082202,2026-07-01 08:22:02.444688
TunePocket,Relax chung,"","","",0,0,0,0,0,0,0,0,0,0,0,0,0,2024,purchase_cost,,purchase_cost_20260701_082202,2026-07-01 08:22:02.444688
Lopills,Lofi,"","","",0,0,0,0,0,0,0,0,0,0,0,0,0,2024,purchase_cost,,purchase_cost_20260701_082202,2026-07-01 08:22:02.444688
PVMM,Lofi,"","","",0,0,0,0,0,0,0,0,0,0,0,0,0,2024,purchase_cost,,purchase_cost_20260701_082202,2026-07-01 08:22:02.444688
Lofi Jazz Records,Lofi,"","","",0,0,0,0,0,0,0,0,0,0,0,0,0,2024,purchase_cost,,purchase_cost_20260701_082202,2026-07-01 08:22:02.444688
Street Phonk' Records,Phonk,"","","",0,0,0,0,0,0,0,0,0,0,0,0,0,2024,purchase_cost,,purchase_cost_20260701_082202,2026-07-01 08:22:02.444688
Aurorian ' Records,Phonk,"","",VND,7.800.000,7.800.000,7.800.000,7.800.000,7.800.000,11.700.000,0,0,0,0,0,0,50.700.000,2024,purchase_cost,,purchase_cost_20260701_082202,2026-07-01 08:22:02.444688
Ardie Son,Relax,An Tuệ & Vibe,28,VND,0,0,0,0,0,0,0,0,0,0,0,0,0,2023,purchase_cost,,purchase_cost_20260701_082202,2026-07-01 08:22:02.444688
Selah Instrumental Music,Phúc Âm,An Tuệ & Vibe,54,VND,0,0,0,0,0,0,0,0,0,0,0,0,0,2023,purchase_cost,,purchase_cost_20260701_082202,2026-07-01 08:22:02.444688
Breath Of Heaven,Phúc Âm,An Tuệ,72,VND,0,0,0,0,0,0,0,0,0,0,0,0,0,2023,purchase_cost,,purchase_cost_20260701_082202,2026-07-01 08:22:02.444688
Road Story Records,Deep House,"Red One, An Tuệ, Vibe, Bình Hào, Forest music","",VND,10.400.000,10.400.000,10.400.000,10.400.000,10.400.000,10.400.000,10.400.000,10.400.000,10.400.000,10.400.000,10.400.000,10.400.000,124.800.000,2023,purchase_cost,,purchase_cost_20260701_082202,2026-07-01 08:22:02.444688
Natural Deep (RA music),Deep House,"Red One, An Tuệ, Vibe, Bình Hào, Forest music","",VND,9.100.000,9.100.000,9.100.000,9.100.000,9.100.000,9.100.000,9.100.000,9.100.000,9.100.000,9.100.000,9.100.000,9.100.000,109.200.000,2023,purchase_cost,,purchase_cost_20260701_082202,2026-07-01 08:22:02.444688
Pofiqist,Deep House,Forest music,"",VND,0,0,0,0,0,0,0,0,0,0,0,0,0,2023,purchase_cost,,purchase_cost_20260701_082202,2026-07-01 08:22:02.444688
Day dose of house,Deep House,"Red One, An Tuệ, Vibe, Bình Hào, Forest music","",VND,0,18.200.000,0,18.200.000,0,18.200.000,0,18.200.000,0,18.200.000,0,18.200.000,109.200.000,2023,purchase_cost,,purchase_cost_20260701_082202,2026-07-01 08:22:02.444688
Different Twins,DEEP HOUSE,"Red One, An Tuệ, Vibe, Bình Hào, MKT 4","",VND,10.400.000,10.400.000,10.400.000,10.400.000,10.400.000,10.400.000,10.400.000,10.400.000,10.400.000,10.400.000,10.400.000,10.400.000,124.800.000,2023,purchase_cost,,purchase_cost_20260701_082202,2026-07-01 08:22:02.444688
Spectrum Recordings,DEEP HOUSE,"Red One, An Tuệ, Vibe, Bình Hào, Forest music","",VND,15.600.000,15.600.000,15.600.000,15.600.000,15.600.000,15.600.000,15.600.000,15.600.000,15.600.000,15.600.000,15.600.000,15.600.000,187.200.000,2023,purchase_cost,,purchase_cost_20260701_082202,2026-07-01 08:22:02.444688
Three Dot House,DEEP HOUSE,"Red One, An Tuệ, Vibe, Bình Hào, Forest music","",VND,11.700.000,11.700.000,11.700.000,11.700.000,11.700.000,11.700.000,11.700.000,11.700.000,11.700.000,11.700.000,11.700.000,11.700.000,140.400.000,2023,purchase_cost,,purchase_cost_20260701_082202,2026-07-01 08:22:02.444688
Zero claim records,DEEP HOUSE,"","",VND,15.600.000,15.600.000,0,0,0,0,0,0,0,0,0,0,31.200.000,2023,purchase_cost,,purchase_cost_20260701_082202,2026-07-01 08:22:02.444688
Deep strip,DEEP HOUSE,"Red One, An Tuệ, Vibe, Bình Hào, Forest music","",VND,0,13.000.000,0,13.000.000,0,13.000.000,0,13.000.000,0,13.000.000,0,13.000.000,78.000.000,2023,purchase_cost,,purchase_cost_20260701_082202,2026-07-01 08:22:02.444688
Wame record,DEEP HOUSE,"All Team HG, Bình Hào","",VND,9.100.000,0,0,9.100.000,0,0,9.100.000,0,0,9.100.000,0,0,36.400.000,2023,purchase_cost,,purchase_cost_20260701_082202,2026-07-01 08:22:02.444688
Lucid Plain,DEEP HOUSE,"","",VND,0,0,0,0,0,0,0,0,0,0,0,0,0,2023,purchase_cost,,purchase_cost_20260701_082202,2026-07-01 08:22:02.444688
Frequency,DEEP HOUSE,"Red One, An Tuệ, Vibe, Bình Hào, MKT 4","",VND,0,15.600.000,0,0,0,0,0,15.600.000,0,0,0,0,31.200.000,2023,purchase_cost,,purchase_cost_20260701_082202,2026-07-01 08:22:02.444688
Tipsy,DEEP HOUSE,"","",VND,0,0,15.600.000,0,0,0,0,0,0,0,0,0,15.600.000,2023,purchase_cost,,purchase_cost_20260701_082202,2026-07-01 08:22:02.444688
Mark Music Records,DEEP HOUSE,"","",VND,0,0,0,0,0,5.200.000,20.800.000,13.000.000,13.000.000,13.000.000,13.000.000,13.000.000,91.000.000,2023,purchase_cost,,purchase_cost_20260701_082202,2026-07-01 08:22:02.444688
Denys Demchuk,Relax chung,MKT 4,"",VND,0,0,0,0,0,0,0,0,0,0,0,0,0,2023,purchase_cost,,purchase_cost_20260701_082202,2026-07-01 08:22:02.444688
TunePocket,Relax chung,Red One,"",VND,0,0,0,0,0,0,0,0,0,0,0,0,0,2023,purchase_cost,,purchase_cost_20260701_082202,2026-07-01 08:22:02.444688
Lopills,Lofi,"","",VND,10.400.000,0,0,0,0,0,0,0,0,0,0,0,10.400.000,2023,purchase_cost,,purchase_cost_20260701_082202,2026-07-01 08:22:02.444688
PVMM,Lofi,"","",VND,0,0,0,0,0,0,0,0,0,0,0,0,0,2023,purchase_cost,,purchase_cost_20260701_082202,2026-07-01 08:22:02.444688
