Tên đối tác,Dòng nhạc,Team sử dụng,Số bài hát,Đơn vị tiền tệ,CP tháng 1,CP tháng 2,CP tháng 3,CP tháng 4,CP tháng 5,CP tháng 6,CP tháng 7,CP tháng 8,CP tháng 9,CP tháng 10,CP tháng 11,CP tháng 12,Total năm,_year,_source_id,_source_sheet,_batch_id,_loaded_at
Maniana Records,DEEP HOUSE,"Red One, An Tuệ, Vibe, Bình Hào, Forest music","",VND,13.000.000,13.000.000,13.000.000,13.000.000,13.000.000,13.000.000,13.000.000,13.000.000,13.000.000,13.000.000,13.000.000,13.000.000,156.000.000,2023,purchase_cost,,purchase_cost_20260701_082202,2026-07-01 08:22:02.444688
Maniana Records,DEEP HOUSE,"Red One, An Tuệ, Vibe, Bình Hào, Forest music","",VND,0,0,0,0,0,0,0,26.000.000,0,13.000.000,13.000.000,13.000.000,65.000.000,2022,purchase_cost,,purchase_cost_20260701_082202,2026-07-01 08:22:02.444688
Inside records,Deep House,"Red One, An Tuệ, Vibe, Forest","","",14.039.760,14.039.760,14.039.760,15.209.740,0,0,0,0,0,0,0,0,57.329.020,2026,purchase_cost,,purchase_cost_20260701_082202,2026-07-01 08:22:02.444688
Inside records,Deep House,"Red One, An Tuệ, Vibe, Bình Hào, Forest music","",VND,15.209.740,15.209.740,15.209.740,15.209.740,15.209.740,15.209.740,15.209.740,15.209.740,15.209.740,15.209.740,15.209.740,15.209.740,182.516.880,2025,purchase_cost,,purchase_cost_20260701_082202,2026-07-01 08:22:02.444688
Inside records,Deep House,"Red One, An Tuệ, Vibe, Bình Hào, Forest music","",VND,15.080.000,15.080.000,15.080.000,15.080.000,15.080.000,15.080.000,15.209.740,15.209.740,15.209.740,15.209.740,15.209.740,15.209.740,181.738.440,2024,purchase_cost,,purchase_cost_20260701_082202,2026-07-01 08:22:02.444688
Inside records,Deep House,"Red One, An Tuệ, Vibe, Bình Hào, Forest music","",VND,15.080.000,15.080.000,15.080.000,15.080.000,15.080.000,15.080.000,15.080.000,15.080.000,15.080.000,15.080.000,15.080.000,15.080.000,180.960.000,2023,purchase_cost,,purchase_cost_20260701_082202,2026-07-01 08:22:02.444688
Inside records,Deep House,"Red One, An Tuệ, Vibe, Bình Hào, Forest music","",VND,0,0,0,0,0,0,0,15.080.000,15.080.000,15.080.000,15.080.000,15.080.000,75.400.000,2022,purchase_cost,,purchase_cost_20260701_082202,2026-07-01 08:22:02.444688
TFB records,Deep House,"Red One, An Tuệ, Vibe","","",28.919.760,0,0,31.329.740,0,0,0,0,0,0,0,0,60.249.500,2026,purchase_cost,,purchase_cost_20260701_082202,2026-07-01 08:22:02.444688
TFB records,Deep House,"All Team HG, Bình Hào","",VND,31.836.740,0,0,31.836.740,0,0,31.329.740,0,0,31.329.740,0,0,126.332.960,2025,purchase_cost,,purchase_cost_20260701_082202,2026-07-01 08:22:02.444688
TFB records,Deep House,"All Team HG, Bình Hào","",VND,28.600.000,0,0,28.600.000,0,0,31.200.000,0,0,31.200.000,0,0,119.600.000,2024,purchase_cost,,purchase_cost_20260701_082202,2026-07-01 08:22:02.444688
TFB records,Deep House,"All Team HG, Bình Hào","",VND,23.400.000,0,0,28.600.000,0,0,28.600.000,0,0,28.600.000,0,0,109.200.000,2023,purchase_cost,,purchase_cost_20260701_082202,2026-07-01 08:22:02.444688
TFB records,Deep House,"All Team HG, Bình Hào","",VND,0,0,0,0,0,0,23.400.000,0,0,23.400.000,0,0,46.800.000,2022,purchase_cost,,purchase_cost_20260701_082202,2026-07-01 08:22:02.444688
Extra Sound Records,Deep House,"Red One, An Tuệ, Vibe, Forest","","",0,12.119.760,0,0,0,0,0,0,0,0,0,0,12.119.760,2026,purchase_cost,,purchase_cost_20260701_082202,2026-07-01 08:22:02.444688
Extra Sound Records,Deep House,"Red One, An Tuệ, Vibe, Bình Hào, Forest music","",VND,0,13.129.740,0,0,0,0,0,13.129.740,0,0,0,0,26.259.480,2025,purchase_cost,,purchase_cost_20260701_082202,2026-07-01 08:22:02.444688
Extra Sound Records,Deep House,"Red One, An Tuệ, Vibe, Bình Hào, Forest music","",VND,0,13.000.000,0,0,0,0,0,13.129.740,0,0,0,0,26.129.740,2024,purchase_cost,,purchase_cost_20260701_082202,2026-07-01 08:22:02.444688
Extra Sound Records,Deep House,"Red One, An Tuệ, Vibe, Bình Hào, Forest music","",VND,0,13.000.000,0,0,0,0,0,13.000.000,0,0,0,0,26.000.000,2023,purchase_cost,,purchase_cost_20260701_082202,2026-07-01 08:22:02.444688
Extra Sound Records,Deep House,"Red One, An Tuệ, Vibe, Bình Hào, Forest music","",VND,0,0,0,0,0,0,0,13.000.000,0,0,0,0,13.000.000,2022,purchase_cost,,purchase_cost_20260701_082202,2026-07-01 08:22:02.444688
Million Records,DEEP HOUSE,MKT 4,"",VND,0,10.400.000,0,0,0,0,0,0,0,0,0,0,10.400.000,2025,purchase_cost,,purchase_cost_20260701_082202,2026-07-01 08:22:02.444688
Million Records,DEEP HOUSE,MKT 4,"",VND,0,10.400.000,0,10.400.000,0,10.400.000,0,10.400.000,0,10.400.000,0,10.400.000,62.400.000,2024,purchase_cost,,purchase_cost_20260701_082202,2026-07-01 08:22:02.444688
Million Records,DEEP HOUSE,MKT 4,"",VND,0,10.400.000,0,10.400.000,0,10.400.000,0,10.400.000,0,10.400.000,0,10.400.000,62.400.000,2023,purchase_cost,,purchase_cost_20260701_082202,2026-07-01 08:22:02.444688
Million Records,DEEP HOUSE,MKT 4,"",VND,0,0,0,0,0,0,0,10.400.000,0,10.400.000,0,10.400.000,31.200.000,2022,purchase_cost,,purchase_cost_20260701_082202,2026-07-01 08:22:02.444688
HalidonMusic,Classical,"","",VND,0,0,0,0,0,298.771.460,0,0,0,0,0,0,298.771.460,2024,purchase_cost,,purchase_cost_20260701_082202,2026-07-01 08:22:02.444688
HalidonMusic,Classical,"","",VND,0,0,0,0,273.000.000,0,0,0,0,0,0,0,273.000.000,2023,purchase_cost,,purchase_cost_20260701_082202,2026-07-01 08:22:02.444688
HalidonMusic,Classical,"","",VND,0,0,0,0,0,0,0,0,0,0,0,0,0,2022,purchase_cost,,purchase_cost_20260701_082202,2026-07-01 08:22:02.444688
