mart_resource_usage_sk,resource_id,resource_name,stock_name,isrc,resource_origin,source,repository,repository_id,sub_project_name,sub_project_id,project,project_id,stock_status,stock_stored_date,resource_age_days,distribution_team,last_distribution_date,ar_name,seo_employee_id,seo_name,used_video_count,last_used_published_date,days_since_last_usage,inventory_unused_days
d8dc395ea6f4f82cb92345d997be204a,HGFA0247FF8A0D194A90AC150AF0E3D1E0D7,,"Faramondo, HWV 39.mp3",,,,,,,,,,Lưu kho,2026-05-26,93,Danh sách người dùng kho nhạc Classical Masterpieces (Team Tuấn 2k),2026-06-15,,,,0,,,
f4684b90e6f78e8a6afe45e0ed2870d3,HGFA0248B0C5E4374D65A289952AFF54ECE4,,untitled - Track 3.wav,,,,,,,,,,Tồn kho,2025-01-15,589,,,,,,0,,,589
8152cc8956dce9aede9c7d0ea9adab43,HGFA0248DFC9FCCC402BAA0463B90FDEC26C,Sometimes,Sometimes,Không có,performance,,PUEBLO VISTA POLYMESA KAI MOUSIKI LP,620219636606f8f74983fff245f69c69,Deep house,c7c5089f5386ff730da29bfcdb3d0333,Deep House,96,Tồn kho,,,,,,,,0,,,
39a8c5473eea7c30a1f05c910e3f8536,HGFA02496904B56541F5B8053696F425A583,,Hazy Daydreams.wav,,,,,,,,,,Tồn kho,2024-10-31,665,,,,,,0,,,665
b6718e75910d4c02ffc1149b1371e9e4,HGFA02499D497AC34AC9A780E3B21E35F5A7,Relaxing _ Emotive Piano,Relaxing-_-Emotive-Piano_HGFA02499D497AC34AC9A780E3B21E35F5A7.mp3,,resource_information_add,,Không có kho,b67111b99e30a1e85832e62e7160282c,Không có dự án con,096abb0ccd7ea756dbb01a39409c46b4,Relax,130,Hàng nguội,2022-07-08,1511,"RELAX/SÓNG ÂM - BG - KHO NỘI DUNG CHUNG, RELAX- HG- KHO NỘI DUNG CHUNG",2026-07-23,,,,199,2026-07-17,41,
fafa667543428984a9bc02104f052735,HGFA0249C30DBA564B4591AF07F176FA4B87,,Serene Twilight.mp3,QT2WN2501179,before_odoo,Kho sản xuất,Không có kho,75901fd641aa5f71f78cb56e40eecd30,Piano - MKT1 | Piano Relaxing,3b5bffb512fa52825c64122ea403c5b8,Piano - MKT1,c3128e12e38497742d3320a03879030a,Hàng nguội,2025-04-17,497,,2026-07-29,,,,31,2026-07-12,46,
72c6ce61a459abbfcb9b8281e9682589,HGFA024A9E1D9BC34157B37AF9BC3A67B455,,Sweet-Sunshine-(Radio-Edit)_HGFA5CF60AEB9BF74CCBB5A3660568EA203C.wav,,,,,,,,,,Tồn kho,2024-08-09,748,,,,,,0,,,748
eca6dd4e9307bcf436b75c852c149e73,HGFA024AAAE82B514DD6A7727144DFE01CF3,,Nostalgia.mp3,,,,,,,,,,Tồn kho,2025-02-27,546,,,,,,0,,,546
2e3c11d7b07e7b17ef2a5d47bea99b0b,HGFA024B0C2BDE7745D5922E3959C1C6B3A8,Gita in campagna,Gita-in-campagna_HGFA024B0C2BDE7745D5922E3959C1C6B3A8.mp3,,purchased,Theo tháng,HalidonMusic,c9cd57d81824e0bffef5cf8fd4f005ea,Không có dự án con,815a5db0f121c22f8b20714e0b5bc717,Classical,91,Lưu kho,2023-06-06,1178,,,,,,0,,,
fdbc60cbd1aa8ca048255ffb28fdcfe2,HGFA024BBEFD25B1456692E8DC11E6ED980E,,,,,,,,,,,,Tồn kho,,,,,,,,0,,,
a4b7c83e9c769e4cd30042a6c7aa09da,HGFA024C1E2B7C3043E98C8F4F16E676766E,,rondo-from-mozart-horn-concerto-in-eb_short-02.mp3,,,,,,,,,,Tồn kho,2025-10-09,322,,,,,,0,,,322
5e869db5effb8a011876d6a536862064,HGFA024D8BFA118C4C58A4FDBFF2E1D8CF46,Tình Sầu Thiên Thu Muôn Lối,Tình-sầu-thiên-thu-muôn-lối---Doãn-Hiếu_HGFA024D8BFA118C4C58A4FDBFF2E1D8CF46.wav,,resource_information_add,,Không có kho,28d5876153750abdf4998c6ca494ee87,Không có dự án con,70699941e5c0c4f95f6e1ee646e77195,Nhạc Việt,121,Lưu kho,2022-09-15,1442,,,,,,0,,,
a811e7457ef3bbf7c7d9d444fdc0aee8,HGFA024DBD5807EF46BF8BEE96ECDC9E7660,Fireflies,Fireflies_HGFA024DBD5807EF46BF8BEE96ECDC9E7660.mp3,,purchased,Theo tháng,HalidonMusic,c9cd57d81824e0bffef5cf8fd4f005ea,Không có dự án con,815a5db0f121c22f8b20714e0b5bc717,Classical,91,Lưu kho,2023-06-02,1182,,,,,,0,,,
827b87c083e8149a2eaf2e74ed908af3,HGFA024DFC8E264B43D191C6119109105BC5,,"Bye, baby Bunting.mp3",,,,,,,,,,Tồn kho,2025-08-23,369,,,,,,0,,,369
8408e526c6bb60e90042e535cbd3bf78,HGFA024FE17FDB2B4436AF77139D25D03340,Until Everything Ends,Until-Everything-Ends_HGFA024FE17FDB2B4436AF77139D25D03340.mp3,,resource_information_add,,Dreamhop,0a0e961427eb6e7bea1738967de36d9e,Không có dự án con,c85959fcf73d7bf1c3486bb49487f15c,Lofi,116,Hàng nguội,2022-04-07,1603,"LOFI - HG - KHO NỘI DUNG CHUNG, VH Core Youtube, VH Core Youtube, LOFI - HG - KHO NỘI DUNG CHUNG",2025-07-30,,,,11,2026-07-15,43,
93aaeb10cf1a8aa7d210a2fd51340a6e,HGFA024FFE36226F44C8BA570BB3603D0488,,badiniere-from-handels-suite-no.-2_loop-04.wav,,,,,,,,,,Tồn kho,2025-10-11,320,,,,,,0,,,320
8569dc4615bcbc608aeb4bdab5670cf3,HGFA02514B1E7F9C4AA58D3566F9DA027E43,,Twilight Hymn.wav,,,,,,,,,,Tồn kho,2025-04-01,513,,,,,,0,,,513
d78a9678b9cc2eb96aced267e4732e59,HGFA0251F6DE1CEE4E88A129193E5421D6AB,"Holberg Suite, Op. 40: II. Sarabande",Holberg-Suite-Op--40-II--Sarabande_HGFA0251F6DE1CEE4E88A129193E5421D6AB.mp3,,purchased,Theo tháng,HalidonMusic,c9cd57d81824e0bffef5cf8fd4f005ea,Không có dự án con,815a5db0f121c22f8b20714e0b5bc717,Classical,91,Lưu kho,2023-06-05,1179,,,,,,0,,,
e43b97ff799dd65a91b55bdc294bc0cd,HGFA0252755B1D6B429E8CC2E91EC1EC924E,,ZOOM0010.mp3,,,,,,,,,,Tồn kho,2026-06-03,85,,,,,,0,,,85
85b04ced5f149a1e01ff21fbf61c17f8,HGFA0253291C914A4CC2B5596E575725CF17,,Lighthouses.mp3,,,,,,,,,,Tồn kho,2026-07-29,29,,,,,,0,,,29
28a5caabddfdf23ef22595221cccc76a,HGFA025410D4A9644B06B2D6B3ACDCFC26A3,,Thank You_Afro_Ver2.mp3,,,,,,,,,,Tồn kho,2026-07-20,38,,,,,,0,,,38
dc1ccb9d63ea45d23b3137fe080d5fda,HGFA025615DAD30443618253FBFC24AEF375,,Como-el-Agua-(aire-Cálido-de-Abril)_HGFA508B576E3462471EA57D4F81AF9A75B5.wav,,,,,,,,,,Tồn kho,2024-08-09,748,,,,,,0,,,748
2d31b0ec4b08eadb22f04a2b15c2713e,HGFA02568B8B310641C6892C1D79396CA872,,"The Magic Flute, K. 620 - Act 2. b. Ein Madchen oder Weibchen.wav",,,,,,,,,,Tồn kho,2026-05-26,93,,,,,,0,,,93
91278b728da5639115209c4ad432da1e,HGFA0257FEC3D791412898191557A548FC9F,,Winding Echo.mp3,QT2WN2403314,,,,,,,,,Tồn kho,2025-01-21,583,VH Core Youtube,2026-07-29,,,,0,,,583
5245d85d5cb3b7794c41052d5dc519f0,HGFA0258741925CB4DA7853D84CB192B6DF8,,Quien-Será-(Official-Video)(2)_HGFA0AA354F598084A31BF949AD6D1643D73.wav,,,,,,,,,,Tồn kho,2024-08-09,748,,,,,,0,,,748
1b017f52e65b5ca1c58ad32309d77c84,HGFA0259BB63ED6743DEB794EE55B302F020,,"Paul Pitman - Moonlight Sonata, Op. 27 No. 2 - I. Adagio sostenuto.wav",,,,,,,,,,Tồn kho,2026-05-26,93,,,,,,0,,,93
3672688f5c7246623e5105c46635da6b,HGFA0259E2E8AB59491A9C3BE54A5D3C1BF7,,half-of-your-heart-SBA-347011580.mp3,,,,,,,,,,Tồn kho,2024-09-18,708,"SỬ DỤNG EXTENSION - MKT 2 - 3, SỬ DỤNG EXTENSION - MKT 4, SỬ DỤNG EXTENSION - MKT 1",2025-05-05,,,,0,,,708
335d62b0cf2b5ecb99fc1b5ece12de1b,HGFA0259E31F7B47494D88B5B91A04BBF89D,,Bamboo Path.mp3,,,,,,,,,,Tồn kho,2024-12-14,621,,,,,,0,,,621
83e1c8d1603632cc7e5a342fad61a8b1,HGFA025B008D802442228761272FB99CD9CB,,When Lights Collapse.wav,,,,,,,,,,Tồn kho,2024-11-29,636,,,,,,0,,,636
a3a1a64ea75fecdcdcd5f0540a5996c0,HGFA025B3ED7D72A4A618EB7005BFA01A31A,,Miroirs-M--43-No--1-Noctuelles--Très-léger_HGFA9745901109AF4F0FBDDA18E6362B7318.wav,,,,,,,,,,Tồn kho,2024-08-09,748,,,,,,0,,,748
