dim_artist_sk,platform_id,platform_name
2f4e2fe0d640b5eca5eaa6de05759928,15266,Tiệm tạp hóa
ac411f98b72734d56053360159f88447,15267,Tiệm tạp hóa
648ca16436a0cd9ae1e2e53ad9879f6d,35891,M.ARLEN
f41ff84e7cbd129397c11f8c5d20c0f4,5845,LKDroner
f19c44d068fecac1d6d13a80df4f8e96,5848,Quynh Anh Nguyen
1b388c8b7c863fde3f559142fdc123b0,5849,Halim
234a1273487bf7b2e2061b9b56373a29,5850,Duy Vũ
805163a0f0f128e473726ccda5f91bac,5852,Jonathan Olivarez
ecb287ff763c169694f682af52c1f309,5862,Reihan Agna
4722176876d0b766e2ce8328108416b9,5863,Lộc Đàn
7cdace91c487558e27ce54df7cdb299c,5864,Thành travelfilmvn
4669d6db6d5b6739b9194e999d907924,5865,nachan_photrip
8c76acf2b5b98f72bec5c3e3b258f122,15596,drone mood
a7471fdc77b3435276507cc8f2dc2569,5866,jonah_joynas
fc9e62695def29ccdb9eb3fed5b4c8c8,5867,kaji_trip
5b3b3e573becfa5d7fac4916f8bc0fed,15186,ABC
b476828992f393a09339cf6270d30aa8,5681,Tim Ulrich
8a20d7c7b4ca634d08739cf614e6063c,15188,abc
c15da1f2b5e5ed6e6837a3802f0d1593,788,Trần Thái Bảo Hân
82489c9737cc245530c7a6ebef3753ec,794,Lê Huy Hùng
ccb0989662211f61edae2e26d58ea92f,755,Jazz Mosaic
f812eab186eb17d72275bb38b918913d,15502,Paolo Paragas
1efecd1fe0d67b4fb82c400a180be64b,15215,Out source
b056eb1587586b71e2da9acfe4fbd19e,749,Bliss Sound
872488f88d1b2db54d55bc8bba2fad1b,754,Lunesis
14db62200d8bf46551aa214accafe1df,5683,Mahendra Fpv
1959eb9d5a0f7ebc58ebde81d5df400d,5684,misanuhoho 社畜社会人
07bb5fdef1ee99d35eaccce14f8b5540,5686,Luca Epifani
0de95629f8faacd3fa1695c6bdb5e019,34042,Nam
aba627e6575de48bcd4fc3be3d373c21,35892,Ghost Meridian
c7c30fd0053ed68c64821a269de80267,35443,Tyler Hawke
59c9f0277cbbf1d0a7d7dbb4bcd46315,34095,Sĩ Phú Quý
218ac3fe3df6ff2c8fe8f9353f1084f6,5687,Azim Toktogulov
1f029c1e1abaaf0605807b7f91552d36,5688,kaikaidapanda
cc96ac7f344eb79af7ef8d461389813a,35477,Cao Bá Hưng
a992a9e939240ce589accf70240bddda,8089,Lê Đỉnh Kiên
7d5c5d752a36bf2c89c4e8a2467aad13,11167,Hà Trung Tiến
f5aa4bd09c07d8b2f65bad6c7cd3358f,7143,Trí Nguyễn
8ba6c657b03fc7c8dd4dff8e45defcd2,5689,Le Kha Tien
9cea10c7ff109c6e61727a0d45492ead,5690,Phan Anh Flycam
5ba47c07b9b6a8f2718d94fa3f48fe9f,5693,BiBiReviewcảnh
a6b8deb7798e7532ade2a8934477d3ce,5712,Anhelina | visual diary
5e7d00134ba3a8b3e37edf5038bc51fc,5713,Timely Snaps
0fe6a94848e5c68a54010b61b3e94b0e,5714,Timely Snaps
380a2d63cef1d5d702278e2b561e2e51,7144,Duy Đỗ Khắc
6e4243f5511fd6ef0f03e9f386d54403,5715,𝐑𝐨𝐥𝐚𝐧𝐝 • 𝐕𝐚𝐧𝐢𝐥𝐥𝐞 𝐮𝐧𝐝 𝐌𝐞𝐞𝐫
e49eb6523da9e1c347bc148ea8ac55d3,5724,amber | hiking | travel | photography
2109737282d2c2de4fc5534be26c9bb6,5725,Video.Trailer
80b618ebcac7aa97a6dac2ba65cb7e36,5728,Huân Ở China
024677efb8e4aee2eaeef17b54695bbe,5729,Mèo già ham đi
be925cdb6f03c1b58212df4c2831aedd,35893,Ghost Meridian
cedb0f1d9cba94cdb32f8ee05c8485e3,15504,fly_with_andrei
b137fdd1f79d56c7edf3365fea7520f2,750,Jolly Jolly
912d2b1c7b2826caf99687388d2e8f7c,751,wanderwave
860052df4915de4d6c3deac9f7ebf5cc,5734,Explore Philippines
3f26de5213216fe4c8a797b1ad68d771,15597,Dawid Wysocki
e347c51419ffb23ca3fd5050202f9c3d,5750,Jason Fenmore
a4c42bfd5f5130ddf96e34a036c75e0a,5751,Manoj
c7b3f097f4810cbb3c4b18c09ab893bc,5752,SUBLIME DRONES
23f09b21324d1ed3cd722109bd55d6e7,5753,𝖯𝖺𝗍𝗋𝗂𝖼𝗄 Hoenlein
048e9aee4ffe42efbf7865f0bd5a2fa4,5668,joannehollings
f864749bcc30eb76d8b8a043bc0ee97d,35444,Tyler Hawke
b24d21019de5e59da180f1661904f49a,5664,caidenjacksontravel
f900afc719d7d86bd7d17b9d3be0aafe,5665,Jason Charles Hill
9398a81b705d554c0e94ef6b2081ffd4,15598,Dawid Wysocki
5ebe5626b9f1cd89fbb9f665a527591f,15610,Nora Elen
45961dd50e46379442318098474e0ced,15562,Eshagh Sadati
7052dac9f266e7843faf319350765a98,35460,Tung Maxx
069d3bb002acd8d7dd095917f9efe4cb,580,Đỗ Trần Hoàng Nam
54d69e23f13017d66d2d0a23415072ac,35446,Tyler Hawke
4d386d01419c083e8df5de53eb5a0254,5666,Katia
c34a7191f6e9948068b83e7179ea3da8,5667,withaxie | voyage & randonnée
b9fdece3130f9e19955c2c3f087168f9,35894,Ghost Meridian
f8b18593cdbb1ce289330560a44e33aa,15047,Νίκος Παρθένης
c4ca4238a0b923820dcc509a6f75849b,1,HG Media
c41dd99a69df04044aa4e33ece9c9249,5868,drone_pilot01
4360d878e132d5e4f3a622d5edae7d34,35482,видеограф | монтаж | съемки
70c96c4ef725a5fd488815d60a1ec206,15513,Johann M
fae0b27c451c728867a567e8c1bb4e53,666,Bùi Khoa Trung
037a15f03246f075193b2a295ba4c466,14081,An Trung Kiên
6081594975a764c8e3a691fa2b3a321d,711,Lê Phạm Hồng Thái
d107823e8deaafd46ec69bba2601473e,35461,Phạm Hoàng Giang
2823f4797102ce1a1aec05359cc16dd9,756,Ecliptica
69f00c668860dd2a02c612891ddc762d,13912,Bùi Đình Dũng
7da9599ceaa0dd2498d02cc7985f5bde,13613,Bàn Bùi Trọng
e1b97c787a5677efa5eba575c41e8688,14709,Bàn Mùi Sỉnh
fcc5b727bd30570766d15fb2d4e4ccd5,15378,Jolly&Friends
8df707a948fac1b4a0f97aa554886ec8,715,Diane Sherwin Velasco Tungol
45ec4f558dca1921c3f77b0a787b204f,34598,A&R Trà Giang
8f14e45fceea167a5a36dedd4bea2543,7,Admin
b2cbc0a549ec535998da8223cde1099e,35447,Holly Rae
30841bea013ba7357328165089fd6b47,35462,OM Himalayas Healer
01f78be6f7cad02658508fe4616098a9,550,Phan Duy Trường
bc2ed059241324f16bb08d020e634321,35448,Holly Rae
