id,sequence,product_uom,product_id,order_id,company_id,partner_id,currency_id,product_packaging_id,create_uid,write_uid,state,qty_received_method,display_type,analytic_distribution,name,product_qty,discount,price_unit,price_subtotal,price_total,qty_invoiced,qty_received,qty_received_manual,qty_to_invoice,is_downpayment,date_planned,create_date,write_date,product_uom_qty,price_tax,product_packaging_qty,orderpoint_id,location_final_id,group_id,product_description_variants,propagate_cancel,sale_order_id,sale_line_id,x_project_id,x_genre_id,x_subgenre_id,x_distribution_method_id,x_song_id,x_product_uom,x_ref,x_quality,x_video_type,x_sample_link,x_song_name,x_location,x_color,x_deadline,is_adjustable,x_review_price,x_expected_score,x_duration,x_video_minute,x_confirmed_qty,x_music_plan_detail_id,x_usage_type,hg_maintenance_request_part_id,hg_asset_request_line_id,x_review_link,hg_asset_categ_id,x_adjust_ok,discount_fixed,x_footage_qty,x_cid_release_mode,x_production_type,_source_id,_source_connection,_batch_id,_loaded_at
1385,10,1,701,539,8,15457,23,,56,38,purchase,manual,,,,1,,0,0,0,0,0,,1,,,2025-11-17 07:17:25.830488,2025-11-18 10:39:25.601535,1,0,0,,,,,t,,,141,653,361,1,2314,,,excellent,,<p>https://www.youtube.com/watch?v=Ty-482Ca8w0</p>,,,,,t,0,0,0,0,1,617,1,,,,,f,0,,,,purchase_order_line,odoo_pg,purchase_order_line_20260826_014450,2026-08-26 01:44:50.485316
1386,10,1,701,539,8,15457,23,,56,38,purchase,manual,,,,1,,0,0,0,0,0,,1,,,2025-11-17 07:17:25.830488,2025-11-18 10:39:25.601535,1,0,0,,,,,t,,,141,653,361,1,2313,,,excellent,,<p>https://www.youtube.com/watch?v=Ty-482Ca8w0</p>,,,,,t,0,0,0,0,1,617,1,,,,,f,0,,,,purchase_order_line,odoo_pg,purchase_order_line_20260826_014450,2026-08-26 01:44:50.485316
1387,10,1,701,539,8,15457,23,,56,38,purchase,manual,,,,1,,0,0,0,0,0,,1,,,2025-11-17 07:17:25.830488,2025-11-18 10:39:25.601535,1,0,0,,,,,t,,,141,653,361,1,2312,,,excellent,,<p>https://www.youtube.com/watch?v=Ty-482Ca8w0</p>,,,,,t,0,0,0,0,1,617,1,,,,,f,0,,,,purchase_order_line,odoo_pg,purchase_order_line_20260826_014450,2026-08-26 01:44:50.485316
1388,10,1,701,539,8,15457,23,,56,38,purchase,manual,,,,1,,0,0,0,0,0,,1,,,2025-11-17 07:17:25.830488,2025-11-18 10:39:25.601535,1,0,0,,,,,t,,,141,653,361,1,2311,,,excellent,,<p>https://www.youtube.com/watch?v=Ty-482Ca8w0</p>,,,,,t,0,0,0,0,1,617,1,,,,,f,0,,,,purchase_order_line,odoo_pg,purchase_order_line_20260826_014450,2026-08-26 01:44:50.485316
1389,10,1,701,539,8,15457,23,,56,38,purchase,manual,,,,1,,0,0,0,0,0,,1,,,2025-11-17 07:17:25.830488,2025-11-18 10:39:25.601535,1,0,0,,,,,t,,,141,653,361,1,2310,,,excellent,,<p>https://www.youtube.com/watch?v=Ty-482Ca8w0</p>,,,,,t,0,0,0,0,1,617,1,,,,,f,0,,,,purchase_order_line,odoo_pg,purchase_order_line_20260826_014450,2026-08-26 01:44:50.485316
1390,10,1,701,539,8,15457,23,,56,38,purchase,manual,,,,1,,0,0,0,0,0,,1,,,2025-11-17 07:17:25.830488,2025-11-18 10:39:25.601535,1,0,0,,,,,t,,,141,653,361,1,2309,,,excellent,,<p>https://www.youtube.com/watch?v=Ty-482Ca8w0</p>,,,,,t,0,0,0,0,1,617,1,,,,,f,0,,,,purchase_order_line,odoo_pg,purchase_order_line_20260826_014450,2026-08-26 01:44:50.485316
4162,10,,,930,8,495,23,,33,36,cancel,,,,,1,,1500000,1500000,1500000,0,0,,0,,,2026-01-15 03:12:46.721717,2026-01-23 02:03:57.792009,1,0,0,,,,,t,,,143,665,405,,4873,,,excellent,,"<div data-oe-version=""1.2""><a href=""https://docs.google.com/spreadsheets/d/1NK_bzMpPEeLWYhkaGxpopEE-BL9wYnoHRQRT4wPDmWM/edit?gid=415958779#gid=415958779"">https://docs.google.com/spreadsheets/d/1NK_bzMpPEeLWYhkaGxpopEE-BL9wYnoHRQRT4wPDmWM/edit?gid=415958779#gid=415958779</a></div>",,,,2026-01-24,t,1500000,9,0,0,1,1507,2,,,,,f,0,,,,purchase_order_line,odoo_pg,purchase_order_line_20260826_014450,2026-08-26 01:44:50.485316
4163,10,,,930,8,495,23,,33,36,cancel,,,,,1,,1500000,1500000,1500000,0,0,,0,,,2026-01-15 03:12:46.721717,2026-01-23 02:03:57.792009,1,0,0,,,,,t,,,143,665,405,,4874,,,excellent,,"<div data-oe-version=""1.2""><a href=""https://docs.google.com/spreadsheets/d/1NK_bzMpPEeLWYhkaGxpopEE-BL9wYnoHRQRT4wPDmWM/edit?gid=415958779#gid=415958779"">https://docs.google.com/spreadsheets/d/1NK_bzMpPEeLWYhkaGxpopEE-BL9wYnoHRQRT4wPDmWM/edit?gid=415958779#gid=415958779</a></div>",,,,2026-01-24,t,1500000,9,0,0,1,1507,2,,,,,f,0,,,,purchase_order_line,odoo_pg,purchase_order_line_20260826_014450,2026-08-26 01:44:50.485316
7387,14,1,1332,1585,2,14,23,,150,440,cancel,manual,,,Link HG Stock: https://stock-admin.hgmedia.app/admin/resource/details/5c2d63f9-9124-4ec2-aafb-862a2088d2ed/video/grid/grid/1/1/folder,20,0,22500000,450000000,450000000,0,0,0,0,,,2026-07-30 10:32:01.292364,2026-08-02 16:00:32.490461,20,0,0,,,,,t,,,160,747,488,2,,,https://docs.google.com/spreadsheets/d/1AfiC0GqCJsO9HyhV5L80sUgqrMoEc75s/edit?usp=sharing&ouid=118124104976205560376&rtpof=true&sd=true,excellent,,,,,,2026-08-15,t,0,9,0,0,0,,2,,,,,f,0,0,cid_only,traditional,purchase_order_line,odoo_pg,purchase_order_line_20260826_014450,2026-08-26 01:44:50.485316
1585,13,1,772,553,3,14,23,,56,1,purchase,manual,,,,30,0,0,0,0,0,0,0,30,,,2025-11-22 08:24:10.642546,2026-07-31 07:43:05.458721,30,0,0,,,,,t,,,107,675,382,,,,,excellent,,,,,,,t,0,0,0,0,30,,1,,,,,f,0,,,traditional,purchase_order_line,odoo_pg,purchase_order_line_20260826_014450,2026-08-26 01:44:50.485316
4897,10,1,28,1075,3,35137,23,,161,155,purchase,manual,,,,25,0,350000,8750000,8750000,0,0,,25,f,,2026-03-13 02:00:34.49044,2026-03-26 06:40:22.818576,25,0,0,,,,,t,,,,441,250,,,video,4K,,,,,Nhật Bản,Đã vào màu,,t,0,0,0,0,25,,,,,,,f,0,,,,purchase_order_line,odoo_pg,purchase_order_line_20260826_014450,2026-08-26 01:44:50.485316
4898,11,1,29,1075,3,35137,23,,161,155,purchase,manual,,,,2,0,0,0,0,0,0,,2,f,,2026-03-13 02:00:34.49044,2026-03-26 06:40:22.818576,2,0,0,,,,,t,,,,441,274,,,video,,,,,,,,,t,0,0,0,0,2,,,,,,,f,0,,,,purchase_order_line,odoo_pg,purchase_order_line_20260826_014450,2026-08-26 01:44:50.485316
6209,10,1,1134,1384,8,35436,23,,4711,4711,purchase,manual,,,,1,,200000,200000,220000,0,0,,1,,,2026-06-11 06:56:42.401645,2026-07-01 03:48:47.486138,1,20000,0,,,,,t,,,91,723,459,2,8489,,,excellent,,,,,,2026-06-25,t,200000,0,0,0,1,3709,2,,,,,f,0,,,,purchase_order_line,odoo_pg,purchase_order_line_20260826_014450,2026-08-26 01:44:50.485316
3876,10,1,818,849,8,35331,23,,33,35,purchase,manual,,,,1,,8000000,8000000,8000000,0,0,,1,,,2025-12-26 07:43:16.396808,2025-12-27 07:46:58.652501,1,0,0,,,,,t,,,130,412,396,,4389,,,excellent,,"<div data-oe-version=""1.2""><a href=""https://open.spotify.com/track/6Tyba4t5zYr7xlpR01u0Ac?si=e9a98daf9d8b4ee9"">https://open.spotify.com/track/6Tyba4t5zYr7xlpR01u0Ac?si=e9a98daf9d8b4ee9</a></div>",,,,,t,8000000,0,0,0,1,1323,2,,,,,f,0,,,,purchase_order_line,odoo_pg,purchase_order_line_20260826_014450,2026-08-26 01:44:50.485316
3877,10,1,818,849,8,35331,23,,33,35,purchase,manual,,,,1,,8000000,8000000,8000000,0,0,,1,,,2025-12-26 07:43:16.396808,2025-12-27 07:46:58.652501,1,0,0,,,,,t,,,130,412,396,,4390,,,excellent,,"<div data-oe-version=""1.2""><a href=""https://open.spotify.com/track/6Tyba4t5zYr7xlpR01u0Ac?si=e9a98daf9d8b4ee9"">https://open.spotify.com/track/6Tyba4t5zYr7xlpR01u0Ac?si=e9a98daf9d8b4ee9</a></div>",,,,,t,8000000,0,0,0,1,1323,2,,,,,f,0,,,,purchase_order_line,odoo_pg,purchase_order_line_20260826_014450,2026-08-26 01:44:50.485316
4285,12,1,948,936,8,495,23,,36,68,purchase,manual,,,,1,0,1500000,1500000,1650000,0,0,0,1,,,2026-01-23 01:59:55.429859,2026-01-23 02:12:29.884088,1,150000,0,,,,,t,,,143,665,405,,4871,,,excellent,,"<div data-oe-version=""1.2""><a href=""https://docs.google.com/spreadsheets/d/1NK_bzMpPEeLWYhkaGxpopEE-BL9wYnoHRQRT4wPDmWM/edit?gid=415958779#gid=415958779"">https://docs.google.com/spreadsheets/d/1NK_bzMpPEeLWYhkaGxpopEE-BL9wYnoHRQRT4wPDmWM/edit?gid=415958779#gid=415958779</a></div>",,,,2026-01-24,t,1500000,0,0,0,1,,2,,,,,f,0,,,,purchase_order_line,odoo_pg,purchase_order_line_20260826_014450,2026-08-26 01:44:50.485316
5537,10,1,1134,1234,8,35436,23,,38,68,purchase,manual,,,,1,,200000,200000,220000,0,0,,1,,,2026-04-15 10:34:05.519284,2026-04-16 09:10:47.927878,1,20000,0,,,,,t,,,91,723,459,2,7239,,,excellent,,,,,,2026-04-26,t,200000,0,0,0,1,2982,2,,,,,f,0,,,,purchase_order_line,odoo_pg,purchase_order_line_20260826_014450,2026-08-26 01:44:50.485316
5538,10,1,1134,1234,8,35436,23,,38,68,purchase,manual,,,,1,,200000,200000,220000,0,0,,1,,,2026-04-15 10:34:05.519284,2026-04-16 09:10:47.927878,1,20000,0,,,,,t,,,91,723,459,2,7238,,,excellent,,,,,,2026-04-26,t,200000,0,0,0,1,2982,2,,,,,f,0,,,,purchase_order_line,odoo_pg,purchase_order_line_20260826_014450,2026-08-26 01:44:50.485316
5059,10,1,942,1123,9,15,23,,157,157,cancel,manual,,,,5,0,2000000,10000000,10000000,0,0,,0,f,2026-03-23 08:01:23,2026-03-23 08:01:23.55023,2026-03-23 10:15:22.179005,5,0,0,,,,,t,,,132,685,415,2,,,,,combo_video,,,,,2026-03-20,t,0,0,0,0,0,,2,,,,,f,0,,,,purchase_order_line,odoo_pg,purchase_order_line_20260826_014450,2026-08-26 01:44:50.485316
5060,11,1,806,1123,9,15,23,,157,157,cancel,manual,,,,5,0,2500000,12500000,12500000,0,0,,0,f,2026-03-23 08:01:23,2026-03-23 08:01:23.55023,2026-03-23 10:15:22.179005,5,0,0,,,,,t,,,132,685,392,2,,,,,combo_video,,,,,2026-03-20,t,0,0,0,0,0,,2,,,,,f,0,,,,purchase_order_line,odoo_pg,purchase_order_line_20260826_014450,2026-08-26 01:44:50.485316
5061,12,1,332,1123,9,15,23,,157,157,cancel,manual,,,,10,0,2300000,23000000,23000000,0,0,,0,f,2026-03-23 08:01:23,2026-03-23 08:01:23.55023,2026-03-23 10:15:22.179005,10,0,0,,,,,t,,,132,644,,2,,,,,video,,,,,2026-03-20,t,0,0,0,0,0,,2,,,,,f,0,,,,purchase_order_line,odoo_pg,purchase_order_line_20260826_014450,2026-08-26 01:44:50.485316
4760,10,1,1116,1037,3,35438,23,,160,69,purchase,manual,,,,109,0,220000,23980000,25179000,0,0,0,109,,,2026-03-05 02:02:48.08018,2026-03-17 10:01:32.335053,109,1199000,0,,,,,t,,,130,441,251,,,video,4K,,,,,Cửu Trại Câu- Trung Quốc,raw,2026-03-15,t,0,0,0,1,109,,,,,,,f,0,,,,purchase_order_line,odoo_pg,purchase_order_line_20260826_014450,2026-08-26 01:44:50.485316
1548,10,1,623,550,1,15536,23,,2335,2335,purchase,stock_moves,,,Giấy A4,15,,388000,5820000,5820000,0,15,,15,,2025-11-18 03:25:50,2025-11-18 03:25:50.130656,2025-11-18 03:39:51.064747,15,0,0,,,,,t,,,,,,,,,,,,,,,,,t,0,0,0,0,0,,,,702,,37,f,0,,,,purchase_order_line,odoo_pg,purchase_order_line_20260826_014450,2026-08-26 01:44:50.485316
1549,10,1,739,550,1,15536,23,,2335,2335,purchase,stock_moves,,,Túi Clear,50,,2900,145000,145000,0,50,,50,,2025-11-18 03:25:50,2025-11-18 03:25:50.130656,2025-11-18 03:39:51.064747,50,0,0,,,,,t,,,,,,,,,,,,,,,,,t,0,0,0,0,0,,,,703,,37,f,0,,,,purchase_order_line,odoo_pg,purchase_order_line_20260826_014450,2026-08-26 01:44:50.485316
1550,10,1,749,550,1,15536,23,,2335,2335,purchase,stock_moves,,,File lá,5,,58000,290000,290000,0,5,,5,,2025-11-18 03:25:50,2025-11-18 03:25:50.130656,2025-11-18 03:39:51.064747,5,0,0,,,,,t,,,,,,,,,,,,,,,,,t,0,0,0,0,0,,,,704,,37,f,0,,,,purchase_order_line,odoo_pg,purchase_order_line_20260826_014450,2026-08-26 01:44:50.485316
1551,10,1,750,550,1,15536,23,,2335,2335,purchase,stock_moves,,,Kẹp tài liệu,3,,28000,84000,84000,0,3,,3,,2025-11-18 03:25:50,2025-11-18 03:25:50.130656,2025-11-18 03:39:51.064747,3,0,0,,,,,t,,,,,,,,,,,,,,,,,t,0,0,0,0,0,,,,705,,37,f,0,,,,purchase_order_line,odoo_pg,purchase_order_line_20260826_014450,2026-08-26 01:44:50.485316
1552,10,1,750,550,1,15536,23,,2335,2335,purchase,stock_moves,,,Kẹp tài liệu,3,,20000,60000,60000,0,3,,3,,2025-11-18 03:25:50,2025-11-18 03:25:50.130656,2025-11-18 03:39:51.064747,3,0,0,,,,,t,,,,,,,,,,,,,,,,,t,0,0,0,0,0,,,,706,,37,f,0,,,,purchase_order_line,odoo_pg,purchase_order_line_20260826_014450,2026-08-26 01:44:50.485316
1553,10,1,750,550,1,15536,23,,2335,2335,purchase,stock_moves,,,Kẹp tài liệu,2,,14000,28000,28000,0,2,,2,,2025-11-18 03:25:50,2025-11-18 03:25:50.130656,2025-11-18 03:39:51.064747,2,0,0,,,,,t,,,,,,,,,,,,,,,,,t,0,0,0,0,0,,,,707,,37,f,0,,,,purchase_order_line,odoo_pg,purchase_order_line_20260826_014450,2026-08-26 01:44:50.485316
4901,10,1,28,1077,3,35164,1,,161,155,purchase,manual,,,,50,0,15,750,750,0,0,,50,f,,2026-03-13 02:09:01.836277,2026-03-26 06:40:03.429825,50,0,0,,,,,t,,,,441,250,,,video,4K,,,,,Nepal,Đã vào màu,,t,0,0,0.4416666666666667,0,50,,,,,,,f,0,,,,purchase_order_line,odoo_pg,purchase_order_line_20260826_014450,2026-08-26 01:44:50.485316
