hg_stock_id,video_id
HGFA9DC8D67B817045F0B81AE7B9593552E3,UGx59kN9COk
HGFA694CCF06BA5B4B86923625204044B0C1,QPJGINKAD_E
HGFAB72E99ACB38B48C88C9589B5ECF966C3,KcH_Pw9Evj4
HGFAC5CDC1787E8B440A95C73D331B6AA0B5,JpplyIOjsrU
HGFA3B94DD800B9645D5A68CD4F2F9FBCC58,Wwm9CEXMrRY
HGFAB72E99ACB38B48C88C9589B5ECF966C3,CLD73NrLeno
HGFA04991993F9BA49AAA5EB5527B93DFAA0,EWZhBjLv4vw
HGFAFE365EC59BD24F1BA30A2A59CDA7B3E6,A4-SvZk17FA
HGFAFBF4D1D1C78E440298A9AF398D27041F,4QV3U7jKz7E
HGFA418C8EE7B4AC4A1A8BA1B5173A5C79D1,9L5jgGMWVkk
HGFAEF8E97C25B254BDC9EA67C9F035150A1,A4I7-EIgGW0
HGFA523D278819DA4FD4831233BA1E729807,NJmnk1H9EmE
HGFAA6DAF99B7FEF4DA898C00080220C1651,VeD93TDICgs
HGFA66D3DACB915B4F0FBA7563523ADB9E36,RmOxcoKB3GE
HGFA7238D1B65BCC466287C69603E2F042D4,O433bCdsUxE
HGFA8F9404C5F8C24181B8F9B01D413DFA0E,5Pj80dvDfiw
HGFA7076F6DA4BAE4D59BDE01E6266E52EB5,4xLvbyEvzOw
HGFAC6973760EC9D45CC8C93CED475D91DD3,74Ta4XUuFAs
HGFAC2DD8D5B9E5A4A1EBEFE80637790F4AB,NDRNnrn9aFE
HGFAACFD01B855A54599BD7B7F1A9316BD53,Lki8_WhKBPs
HGFAA71FC7AF6FB342AFA41006ED73CB83A9,Ga5VvtVjJJY
HGFA7AE949E474D74451BFCB09D688FC72F2,JpplyIOjsrU
HGFAE7B763A9AC46492FB92F21B98D2F1534,V404AGk5AwI
HGFAC2DD8D5B9E5A4A1EBEFE80637790F4AB,6CYMmVumlRg
HGFA99530A045AF94A0099080C7275662305,824w8SMTYWg
HGFA9F4D33E3660943DFA29940F493E2D77E,4LGuiktO8e4
HGFAE1740F4FF4EE4954895837E51D87C747,7-bTIE5VjL4
HGFAC7ABF0EDE81048B5B1CFB020D2DCB831,WCDv_ZXNs7Q
HGFA0D736AF6BC0A498B8797F9816B932BD5,LIe2kAmDOgM
HGFA7076F6DA4BAE4D59BDE01E6266E52EB5,LnYJEXJ5iQ0
HGFAC2DD8D5B9E5A4A1EBEFE80637790F4AB,72VBgBT40cg
HGFAE872E38B65614C09B6646E63D2A252D8,RWTZtVpyM8E
HGFA5AD0FE24AA6E4B6785377EC4DBDEF8CE,P774i23tUBM
HGFA4345D1383F794145BEA908BC3D41BDE5,TyO5nSF1Rg8
HGFA1094A6CE5DC74A1799812A53E29092AD,K21cXY4gId8
HGFA6225DBA536E74B4B9858726D9C366B2A,CZPdW3F9Y34
HGFAC52329C9C2484A81BE35CD4F33DA55E0,Kq-k455mpLc
HGFA98296BDBD93143BE90ADF7802F3ED6E7,Jr7JKpbMWoA
HGFAB0DE9A9A30944C54963C96583EFB65DE,FWBl42SkCzU
HGFA5C13F7A2EE094DA8ABBD5A4FAB2F1EF3,5YqZKRggtXA
HGFA8D07AD827CCB4DE38198640E582B7664,MPbKVLYviq4
HGFAA67DA9C3DAC74CC0B57CCC207AFACBF1,5ldmhuTAOXI
HGFAEF9BC48ADF1A4EA597D79E0A2818C738,U1dpauoanng
HGFAA7A3D7CAD41E4BFE9C246CB559DBD453,Da-_-D489rw
HGFAF78020B1BAC04079B5FA73FF6EADF7D9,4nEZXoNpg3s
HGFA3E60C4A52E19411389FE3CA1F5CE5B80,3NHpb0QyIC8
HGFAF96E7377E267423EA2C1421999EAF2CD,CLD73NrLeno
HGFA5EBB496A835349E69BC608BB8ED5ED31,2i9DfutpKZQ
HGFA34F0B8A6128E4497BF4CF9229B5F90D2,OYCVelxSdH4
HGFAD64E9C9905F24EA2A7F6BFE0E9F74F25,DZMYFoxvgGo
HGFA938B69D345164E2780070994BD26733B,1ua46fiRtqk
HGFAD69445B1D3B74B379CC27B72D5B10663,WtJHrs6BDkc
HGFAFDF4BFC36AF94241BF084CFFEDB6921E,Kefp4nRfdM0
HGFADC11FEB225EB4F3BA3F7744403F3CDBE,3mpVctE1lZE
HGFA34ED9AD19F6244F38E85026A11E27445,DXD2UAIjntA
HGFAD8C6A653696B4A0A83E5E7C8624E932B,64Gn9lgjXFs
HGFA7076F6DA4BAE4D59BDE01E6266E52EB5,Wwm9CEXMrRY
HGFAC12D4BB8BF41459A8CA15457DE946598,9oV6yFg0SAU
HGFA60CA3987EBF84325888B7B012AF09301,SKtxSA9f35U
HGFA14F20A0C584A43B796264B3F3B757D0F,TQUdCzYvqxA
HGFA9CD1D267047A4F999DDA67DEEEB24CC6,Wn3Z3tUbu9s
HGFA8936EEECB66E4443A6B62A2AE392085C,8ZGhsWtQFkA
HGFA7CBC27BF4A3147F89F32DF80EB0150B1,4_WA4qEozio
HGFADDDCC25C7A1F48A29109A2C4CE6F2ACA,TmwJyMAIJiM
HGFA5C13F7A2EE094DA8ABBD5A4FAB2F1EF3,Qd_Xemd_v4o
HGFA9CFEF8A442CA49C4BCB07CFC511A692D,PEmwzJaWPcw
HGFA3A9F63A9615E4A148C700B5353078308,JjnEuUPNyP0
