step_order,buoc,status_order,tinh_trang,flow_item_key,resource_id,hg_stock_id,isrc,so_id,po_id,po_detail_id,channel_id,repository_id,production_sub_project_id,production_project_id,stock_sub_project_id,stock_project_id,sub_project_id,project_id,order_company_id,stock_company_id,company_id,net_id,platform,stock_stored_date,recorded_date,so_luong
1,OD→SX,1,Hoàn thành,OD_SX:1:582,,,,119,,,,100,392,113,,,392,113,,,,,,,,4
1,OD→SX,1,Hoàn thành,OD_SX:1:817,,,,176,,,,340,655,96,,,655,96,,,,,,,,1
1,OD→SX,1,Hoàn thành,OD_SX:1:819,,,,176,,,,340,655,96,,,655,96,,,,,,,,1
1,OD→SX,1,Hoàn thành,OD_SX:1:711,,,,176,,,,340,655,96,,,655,96,,,,,,,,1
1,OD→SX,1,Hoàn thành,OD_SX:1:831,,,,176,,,,340,655,96,,,655,96,,,,,,,,1
1,OD→SX,1,Hoàn thành,OD_SX:1:693,,,,176,,,,340,655,96,,,655,96,,,,,,,,1
1,OD→SX,1,Hoàn thành,OD_SX:1:694,,,,176,,,,340,655,96,,,655,96,,,,,,,,1
1,OD→SX,1,Hoàn thành,OD_SX:1:695,,,,176,,,,340,655,96,,,655,96,,,,,,,,1
1,OD→SX,1,Hoàn thành,OD_SX:1:696,,,,176,,,,340,655,96,,,655,96,,,,,,,,1
1,OD→SX,1,Hoàn thành,OD_SX:1:712,,,,176,,,,340,655,96,,,655,96,,,,,,,,1
1,OD→SX,1,Hoàn thành,OD_SX:1:713,,,,176,,,,340,655,96,,,655,96,,,,,,,,1
1,OD→SX,1,Hoàn thành,OD_SX:1:714,,,,176,,,,340,655,96,,,655,96,,,,,,,,1
1,OD→SX,1,Hoàn thành,OD_SX:1:715,,,,176,,,,340,655,96,,,655,96,,,,,,,,1
1,OD→SX,1,Hoàn thành,OD_SX:1:735,,,,176,,,,340,655,96,,,655,96,,,,,,,,1
1,OD→SX,1,Hoàn thành,OD_SX:1:736,,,,176,,,,340,655,96,,,655,96,,,,,,,,1
1,OD→SX,1,Hoàn thành,OD_SX:1:737,,,,176,,,,340,655,96,,,655,96,,,,,,,,1
1,OD→SX,1,Hoàn thành,OD_SX:1:738,,,,176,,,,340,655,96,,,655,96,,,,,,,,1
1,OD→SX,1,Hoàn thành,OD_SX:1:739,,,,176,,,,340,655,96,,,655,96,,,,,,,,1
1,OD→SX,1,Hoàn thành,OD_SX:1:740,,,,176,,,,340,655,96,,,655,96,,,,,,,,1
1,OD→SX,1,Hoàn thành,OD_SX:1:741,,,,176,,,,340,655,96,,,655,96,,,,,,,,1
1,OD→SX,1,Hoàn thành,OD_SX:1:742,,,,176,,,,340,655,96,,,655,96,,,,,,,,1
1,OD→SX,1,Hoàn thành,OD_SX:1:743,,,,176,,,,340,655,96,,,655,96,,,,,,,,1
1,OD→SX,1,Hoàn thành,OD_SX:1:744,,,,176,,,,340,655,96,,,655,96,,,,,,,,1
1,OD→SX,1,Hoàn thành,OD_SX:1:745,,,,176,,,,340,655,96,,,655,96,,,,,,,,1
1,OD→SX,1,Hoàn thành,OD_SX:1:746,,,,176,,,,340,655,96,,,655,96,,,,,,,,1
1,OD→SX,1,Hoàn thành,OD_SX:1:830,,,,176,,,,340,655,96,,,655,96,,,,,,,,1
1,OD→SX,1,Hoàn thành,OD_SX:1:829,,,,176,,,,340,655,96,,,655,96,,,,,,,,1
1,OD→SX,1,Hoàn thành,OD_SX:1:747,,,,176,,,,340,655,96,,,655,96,,,,,,,,1
1,OD→SX,1,Hoàn thành,OD_SX:1:748,,,,176,,,,340,655,96,,,655,96,,,,,,,,1
1,OD→SX,1,Hoàn thành,OD_SX:1:749,,,,176,,,,340,655,96,,,655,96,,,,,,,,1
1,OD→SX,1,Hoàn thành,OD_SX:1:750,,,,176,,,,340,655,96,,,655,96,,,,,,,,1
1,OD→SX,1,Hoàn thành,OD_SX:1:751,,,,176,,,,340,655,96,,,655,96,,,,,,,,1
1,OD→SX,1,Hoàn thành,OD_SX:1:752,,,,176,,,,340,655,96,,,655,96,,,,,,,,1
1,OD→SX,1,Hoàn thành,OD_SX:1:753,,,,176,,,,340,655,96,,,655,96,,,,,,,,1
1,OD→SX,1,Hoàn thành,OD_SX:1:755,,,,176,,,,340,655,96,,,655,96,,,,,,,,1
1,OD→SX,1,Hoàn thành,OD_SX:1:756,,,,176,,,,340,655,96,,,655,96,,,,,,,,1
1,OD→SX,1,Hoàn thành,OD_SX:1:757,,,,176,,,,340,655,96,,,655,96,,,,,,,,1
1,OD→SX,1,Hoàn thành,OD_SX:1:758,,,,176,,,,340,655,96,,,655,96,,,,,,,,1
1,OD→SX,1,Hoàn thành,OD_SX:1:759,,,,176,,,,340,655,96,,,655,96,,,,,,,,1
1,OD→SX,1,Hoàn thành,OD_SX:1:761,,,,176,,,,340,655,96,,,655,96,,,,,,,,1
1,OD→SX,1,Hoàn thành,OD_SX:1:762,,,,176,,,,340,655,96,,,655,96,,,,,,,,1
1,OD→SX,1,Hoàn thành,OD_SX:1:763,,,,176,,,,340,655,96,,,655,96,,,,,,,,1
1,OD→SX,1,Hoàn thành,OD_SX:1:764,,,,176,,,,340,655,96,,,655,96,,,,,,,,1
1,OD→SX,1,Hoàn thành,OD_SX:1:765,,,,176,,,,340,655,96,,,655,96,,,,,,,,1
1,OD→SX,1,Hoàn thành,OD_SX:1:766,,,,176,,,,340,655,96,,,655,96,,,,,,,,1
1,OD→SX,1,Hoàn thành,OD_SX:1:767,,,,176,,,,340,655,96,,,655,96,,,,,,,,1
1,OD→SX,1,Hoàn thành,OD_SX:1:768,,,,176,,,,340,655,96,,,655,96,,,,,,,,1
1,OD→SX,1,Hoàn thành,OD_SX:1:769,,,,176,,,,340,655,96,,,655,96,,,,,,,,1
1,OD→SX,1,Hoàn thành,OD_SX:1:770,,,,176,,,,340,655,96,,,655,96,,,,,,,,1
1,OD→SX,1,Hoàn thành,OD_SX:1:771,,,,176,,,,340,655,96,,,655,96,,,,,,,,1
1,OD→SX,1,Hoàn thành,OD_SX:1:772,,,,176,,,,340,655,96,,,655,96,,,,,,,,1
1,OD→SX,1,Hoàn thành,OD_SX:1:773,,,,176,,,,340,655,96,,,655,96,,,,,,,,1
1,OD→SX,1,Hoàn thành,OD_SX:1:797,,,,176,,,,340,655,96,,,655,96,,,,,,,,1
1,OD→SX,1,Hoàn thành,OD_SX:1:583,,,,120,,,,341,651,126,,,651,126,,,,,,,,32
1,OD→SX,1,Hoàn thành,OD_SX:1:584,,,,120,,,,360,652,125,,,652,125,,,,,,,,32
1,OD→SX,1,Hoàn thành,OD_SX:1:1153,,,,227,163,,,361,653,141,,,653,141,,,,,,,,50
1,OD→SX,1,Hoàn thành,OD_SX:1:548,,,,107,,,,361,653,141,,,653,141,,,,,,,,50
1,OD→SX,1,Hoàn thành,OD_SX:1:549,,,,107,,,,362,650,96,,,650,96,,,,,,,,50
1,OD→SX,1,Hoàn thành,OD_SX:1:1292,,,,267,,,,362,650,96,,,650,96,,,,,,,,50
1,OD→SX,1,Hoàn thành,OD_SX:1:550,,,,107,,,,363,654,91,,,654,91,,,,,,,,26
1,OD→SX,1,Hoàn thành,OD_SX:1:538,,,,106,,,,365,656,124,,,656,124,,,,,,,,30
1,OD→SX,1,Hoàn thành,OD_SX:1:998,,,,182,,,,365,656,124,,,656,124,,,,,,,,15
1,OD→SX,1,Hoàn thành,OD_SX:1:1218,,,,249,124,,,365,656,124,,,656,124,,,,,,,,10
1,OD→SX,1,Hoàn thành,OD_SX:1:1111,,,,208,101,,,365,656,124,,,656,124,8,,8,,,,,30
1,OD→SX,1,Hoàn thành,OD_SX:1:1165,,,,229,165,,,365,656,124,,,656,124,,,,,,,,10
1,OD→SX,1,Hoàn thành,OD_SX:1:848,,,,176,,,,340,655,96,,,655,96,,,,,,,,1
1,OD→SX,1,Hoàn thành,OD_SX:1:798,,,,176,,,,340,655,96,,,655,96,,,,,,,,1
1,OD→SX,1,Hoàn thành,OD_SX:1:799,,,,176,,,,340,655,96,,,655,96,,,,,,,,1
1,OD→SX,1,Hoàn thành,OD_SX:1:793,,,,176,,,,340,655,96,,,655,96,,,,,,,,1
1,OD→SX,1,Hoàn thành,OD_SX:1:794,,,,176,,,,340,655,96,,,655,96,,,,,,,,1
1,OD→SX,1,Hoàn thành,OD_SX:1:795,,,,176,,,,340,655,96,,,655,96,,,,,,,,1
1,OD→SX,1,Hoàn thành,OD_SX:1:796,,,,176,,,,340,655,96,,,655,96,,,,,,,,1
1,OD→SX,1,Hoàn thành,OD_SX:1:800,,,,176,,,,340,655,96,,,655,96,,,,,,,,1
1,OD→SX,1,Hoàn thành,OD_SX:1:801,,,,176,,,,340,655,96,,,655,96,,,,,,,,1
1,OD→SX,1,Hoàn thành,OD_SX:1:802,,,,176,,,,340,655,96,,,655,96,,,,,,,,1
1,OD→SX,1,Hoàn thành,OD_SX:1:803,,,,176,,,,340,655,96,,,655,96,,,,,,,,1
1,OD→SX,1,Hoàn thành,OD_SX:1:804,,,,176,,,,340,655,96,,,655,96,,,,,,,,1
1,OD→SX,1,Hoàn thành,OD_SX:1:805,,,,176,,,,340,655,96,,,655,96,,,,,,,,1
1,OD→SX,1,Hoàn thành,OD_SX:1:806,,,,176,,,,340,655,96,,,655,96,,,,,,,,1
1,OD→SX,1,Hoàn thành,OD_SX:1:807,,,,176,,,,340,655,96,,,655,96,,,,,,,,1
1,OD→SX,1,Hoàn thành,OD_SX:1:808,,,,176,,,,340,655,96,,,655,96,,,,,,,,1
1,OD→SX,1,Hoàn thành,OD_SX:1:809,,,,176,,,,340,655,96,,,655,96,,,,,,,,1
1,OD→SX,1,Hoàn thành,OD_SX:1:810,,,,176,,,,340,655,96,,,655,96,,,,,,,,1
1,OD→SX,1,Hoàn thành,OD_SX:1:811,,,,176,,,,340,655,96,,,655,96,,,,,,,,1
1,OD→SX,1,Hoàn thành,OD_SX:1:812,,,,176,,,,340,655,96,,,655,96,,,,,,,,1
1,OD→SX,1,Hoàn thành,OD_SX:1:813,,,,176,,,,340,655,96,,,655,96,,,,,,,,1
1,OD→SX,1,Hoàn thành,OD_SX:1:814,,,,176,,,,340,655,96,,,655,96,,,,,,,,1
1,OD→SX,1,Hoàn thành,OD_SX:1:815,,,,176,,,,340,655,96,,,655,96,,,,,,,,1
1,OD→SX,1,Hoàn thành,OD_SX:1:816,,,,176,,,,340,655,96,,,655,96,,,,,,,,1
1,OD→SX,1,Hoàn thành,OD_SX:1:667,,,,168,,,,365,656,124,,,656,124,,,,,,,,15
1,OD→SX,1,Hoàn thành,OD_SX:1:1284,,,,266,,,,365,656,124,,,656,124,,,,,,,,15
1,OD→SX,1,Hoàn thành,OD_SX:1:1238,,,,252,,,,365,656,124,,,656,124,,,,,,,,15
1,OD→SX,1,Hoàn thành,OD_SX:1:1188,,,,235,,,,365,656,124,,,656,124,,,,,,,,15
1,OD→SX,1,Hoàn thành,OD_SX:1:1101,,,,207,100,,,365,656,124,,,656,124,8,,8,,,,,15
1,OD→SX,1,Hoàn thành,OD_SX:1:1096,,,,205,,,,366,657,116,,,657,116,,,,,,,,20
1,OD→SX,1,Hoàn thành,OD_SX:1:999,,,,182,,,,366,657,116,,,657,116,,,,,,,,10
1,OD→SX,1,Hoàn thành,OD_SX:1:1102,,,,207,100,,,366,657,116,,,657,116,8,,8,,,,,10
1,OD→SX,1,Hoàn thành,OD_SX:1:668,,,,168,,,,366,657,116,,,657,116,,,,,,,,10
1,OD→SX,1,Hoàn thành,OD_SX:1:539,,,,106,,,,366,657,116,,,657,116,,,,,,,,30
1,OD→SX,1,Hoàn thành,OD_SX:1:946,,,,176,,,,367,658,142,,,658,142,,,,,,,,1
1,OD→SX,1,Hoàn thành,OD_SX:1:1108,,,,208,101,,,367,658,142,,,658,142,8,,8,,,,,40
1,OD→SX,1,Hoàn thành,OD_SX:1:1183,,,,235,,,,367,658,142,,,658,142,,,,,,,,30
1,OD→SX,1,Hoàn thành,OD_SX:1:540,,,,106,,,,367,658,142,,,658,142,,,,,,,,30
1,OD→SX,1,Hoàn thành,OD_SX:1:1091,,,,205,,,,367,658,142,,,658,142,,,,,,,,40
1,OD→SX,1,Hoàn thành,OD_SX:1:919,,,,176,,,,367,658,142,,,658,142,,,,,,,,1
1,OD→SX,1,Hoàn thành,OD_SX:1:920,,,,176,,,,367,658,142,,,658,142,,,,,,,,1
1,OD→SX,1,Hoàn thành,OD_SX:1:921,,,,176,,,,367,658,142,,,658,142,,,,,,,,1
1,OD→SX,1,Hoàn thành,OD_SX:1:893,,,,176,,,,367,658,142,,,658,142,,,,,,,,1
1,OD→SX,1,Hoàn thành,OD_SX:1:894,,,,176,,,,367,658,142,,,658,142,,,,,,,,1
1,OD→SX,1,Hoàn thành,OD_SX:1:895,,,,176,,,,367,658,142,,,658,142,,,,,,,,1
1,OD→SX,1,Hoàn thành,OD_SX:1:896,,,,176,,,,367,658,142,,,658,142,,,,,,,,1
1,OD→SX,1,Hoàn thành,OD_SX:1:897,,,,176,,,,367,658,142,,,658,142,,,,,,,,1
1,OD→SX,1,Hoàn thành,OD_SX:1:898,,,,176,,,,367,658,142,,,658,142,,,,,,,,1
1,OD→SX,1,Hoàn thành,OD_SX:1:899,,,,176,,,,367,658,142,,,658,142,,,,,,,,1
1,OD→SX,1,Hoàn thành,OD_SX:1:900,,,,176,,,,367,658,142,,,658,142,,,,,,,,1
1,OD→SX,1,Hoàn thành,OD_SX:1:901,,,,176,,,,367,658,142,,,658,142,,,,,,,,1
1,OD→SX,1,Hoàn thành,OD_SX:1:902,,,,176,,,,367,658,142,,,658,142,,,,,,,,1
1,OD→SX,1,Hoàn thành,OD_SX:1:903,,,,176,,,,367,658,142,,,658,142,,,,,,,,1
1,OD→SX,1,Hoàn thành,OD_SX:1:904,,,,176,,,,367,658,142,,,658,142,,,,,,,,1
1,OD→SX,1,Hoàn thành,OD_SX:1:905,,,,176,,,,367,658,142,,,658,142,,,,,,,,1
1,OD→SX,1,Hoàn thành,OD_SX:1:906,,,,176,,,,367,658,142,,,658,142,,,,,,,,1
