id,company_id,parent_id,manager_id,color,master_department_id,create_uid,write_uid,complete_name,parent_path,name,note,active,create_date,write_date,hg_paymenttool_id,hg_assign_sequence_id,hg_repair_sequence_id,hg_return_sequence_id,hg_dispose_sequence_id,hg_code,sequence,_source_id,_source_connection,_batch_id,_loaded_at
141,,138,,0,138,6,6,Marketing Label / Design,138/141/,"{""en_US"": ""Design"", ""vi_VN"": ""Design""}",,t,2025-08-23 08:37:14.099756,2025-09-21 16:38:08.311628,,,,,,,10,hr_department,odoo_pg,hr_department_20260822_051409,2026-08-22 05:14:10.113198
142,,138,,0,138,6,6,Marketing Label / Social Marketing,138/142/,"{""en_US"": ""Social Marketing"", ""vi_VN"": ""Social Marketing""}",,t,2025-08-23 08:37:26.274147,2025-09-21 16:38:08.311628,,,,,,,10,hr_department,odoo_pg,hr_department_20260822_051409,2026-08-22 05:14:10.113198
134,,100,,,97,6,6,An Tuệ / Phòng Cung ứng / Team Hậu kỳ màu,97/100/134/,"{""en_US"": ""Team Hậu kỳ màu"", ""vi_VN"": ""Team Hậu kỳ màu""}",,t,2025-08-18 17:48:22.947069,2025-11-26 08:43:10.692509,,,,,,,10,hr_department,odoo_pg,hr_department_20260822_051409,2026-08-22 05:14:10.113198
115,3,113,,,97,6,2318,An Tuệ / Phòng MKT Quân / Team MKT Thảo,97/113/115/,"{""en_US"": ""Team MKT Thảo"", ""vi_VN"": ""Team MKT Thảo""}",,t,2025-08-18 17:48:22.947069,2025-12-24 07:04:16.274117,,,,,,,10,hr_department,odoo_pg,hr_department_20260822_051409,2026-08-22 05:14:10.113198
112,3,111,,,97,6,2318,An Tuệ / Phòng MKT Trung / Team MKT Trung,97/111/112/,"{""en_US"": ""Team MKT Trung"", ""vi_VN"": ""Team MKT Trung""}",,t,2025-08-18 17:48:22.947069,2025-12-24 07:04:27.889917,,,,,,,10,hr_department,odoo_pg,hr_department_20260822_051409,2026-08-22 05:14:10.113198
123,,118,,,98,6,2318,Vibe / Phòng hỗ trợ Vibe / Team Hậu kỳ màu,98/118/123/,"{""en_US"": ""Team Hậu kỳ màu"", ""vi_VN"": ""Team Hậu kỳ màu""}",,t,2025-08-18 17:48:22.947069,2025-12-23 09:57:52.0932,,,,,,,10,hr_department,odoo_pg,hr_department_20260822_051409,2026-08-22 05:14:10.113198
116,3,113,,,97,6,2318,An Tuệ / Phòng MKT Quân / Team MKT Quân,97/113/116/,"{""en_US"": ""Team MKT Quân"", ""vi_VN"": ""Team MKT Quân""}",,t,2025-08-18 17:48:22.947069,2025-12-24 07:04:43.873645,,,,,,,10,hr_department,odoo_pg,hr_department_20260822_051409,2026-08-22 05:14:10.113198
133,3,100,,,97,6,2318,An Tuệ / Phòng Cung ứng / Team Hậu kỳ âm thanh,97/100/133/,"{""en_US"": ""Team Hậu kỳ âm thanh"", ""vi_VN"": ""Team Hậu kỳ âm thanh""}",,t,2025-08-18 17:48:22.947069,2025-12-24 07:04:53.972808,,,,,,,10,hr_department,odoo_pg,hr_department_20260822_051409,2026-08-22 05:14:10.113198
122,4,118,,,98,6,2318,Vibe / Phòng hỗ trợ Vibe / Team Hậu kỳ âm thanh,98/118/122/,"{""en_US"": ""Team Hậu kỳ âm thanh"", ""vi_VN"": ""Team Hậu kỳ âm thanh""}",,t,2025-08-18 17:48:22.947069,2025-12-24 07:05:00.303941,,,,,,,10,hr_department,odoo_pg,hr_department_20260822_051409,2026-08-22 05:14:10.113198
104,6,129,,,99,6,2318,HG La Giang / Phòng hỗ trợ / Team Hậu kỳ âm thanh,99/129/104/,"{""en_US"": ""Team Hậu kỳ âm thanh"", ""vi_VN"": ""Team Hậu kỳ âm thanh""}",,t,2025-08-18 17:48:22.947069,2025-12-24 07:05:08.401653,,,,,,,10,hr_department,odoo_pg,hr_department_20260822_051409,2026-08-22 05:14:10.113198
182,2,,,,182,2318,2318,hải nam,182/,"{""en_US"": ""hải nam"", ""vi_VN"": ""hải nam""}",,t,2026-05-29 04:01:06.919024,2026-05-29 04:01:06.919024,,,,,,,10,hr_department,odoo_pg,hr_department_20260822_051409,2026-08-22 05:14:10.113198
