dim_isrc_sk,hg_stock_id,isrc
492b49e74369e2c5890c8018046d4b25,J(H_B_O)_B2502_NNHĐ1_01,QT2WN2500627
ac5838ef2c3d5e5c05e934f8ed5ad32a,J(H_B_O)_B2502_NNHĐ1_02,QT2WN2500628
158c722de5163afe68d53f3e560deb6c,J(H_B_O)_B2502_NNHĐ1_03,QT2WN2500629
7f40027643023911108778fca27b02aa,J(H_B_O)_B2502_DTK1_01,QT2WN2500630
a67f2d1868466395485e92437f2c287f,J(H_B_O)_B2502_DTK1_02,QT2WN2500631
26fcd133641cf5dbb1ac4c88df2fcf4b,J(H_B_O)_B2502_ĐB1_01,QT2WN2500632
bec46a8513b02bcc2bf7814670e7d8aa,J(H_B_O)_B2502_ĐB1_02,QT2WN2500633
c9e3753dba046bf637f99f3e5dfceef4,J(H_B_O)_A2502_TT3_01,QT2WN2500634
74f00fa1c66f43504ce7ec62100f61a8,J(H_B_O)_A2502_TT3_02,QT2WN2500635
6f01c258e2c43ec1740d3d1ca7b4ed68,J(H_B_O)_A2502_TT3_03,QT2WN2500636
c7bc2d19d6e8209cb407b64a08e73880,J(H_B_O)_A2502_TT3_04,QT2WN2500637
fb30cea0851c42a674e48f8f37b99f4b,J(H_B_O)_A2502_TT3_05,QT2WN2500638
44b9157dd1e2527652cc02a46a92d7ee,J(H_B_O)_A2502_TT3_06,QT2WN2500639
aa0ef0410ecf4d2f11b9da3443fb9231,J(H_B_O)_A2502_TT3_07,QT2WN2500640
a0909f1511cf2a04bb35ac27e8d2adc5,J(H_B_O)_A2502_TT3_08,QT2WN2500641
e9e4ab25f6d472260d4ac690c8e8736d,J(R_B_O)_A2502_HS1_01,QT2WN2500642
a956e08585562a87e0a80dbc9e72b8ff,J(R_B_O)_A2502_HS1_02,QT2WN2500643
c689775a90cce9256814ceb8474a4d6f,J(R_B_O)_A2502_HS1_03,QT2WN2500644
5f62c4a915f4d8371731383bd9f3b0d3,J(R_B_O)_A2502_HS1_04,QT2WN2500645
f2bfac7e2d79a985923320bdb0c69b3e,J(R_B_O)_A2502_HS1_05,QT2WN2500646
a569af5f2647582d9b61338016253edd,J(R_B_O)_A2502_HS1_06,QT2WN2500647
e3eea6a4ae2c9f63fa3c48fbd183d136,J(R_B_O)_A2502_HS1_07,QT2WN2500648
c65e21ffe02de18cf26877d9dbd30820,J(4_B_O)_A2502_PTD1_01,QT2WN2500649
6bd098821b6ce4d4abda5c8eb2dffa62,J(4_B_O)_A2502_PTD1_02,QT2WN2500650
8e6ed04b514293f831fc5a36e1b6d425,J(4_B_O)_A2502_PTD1_03,QT2WN2500651
914ac9a921482a6ff1ca4d5a67fccd5d,J(4_B_O)_A2502_PTD1_04,QT2WN2500652
1fa76cb4421eb678ac2e29f5f7c229f5,J(4_B_O)_A2502_PTD1_05,QT2WN2500653
248e319417e79c74ee4c3cdae3f358e0,J(4_B_O)_B2502_HHD1_01,QT2WN2500654
ec9f35a5e5384c811b96bb3c8fa3dcea,J(4_B_O)_B2502_NHCB1_01,QT2WN2500655
a3fc82224f28f1cf507c7632231307ae,J(4_B_O)_B2502_NPQ7_01,QT2WN2500656
5a23579504fc9c64fc81d27744279b41,J(4_B_O)_B2502_NPQ8_01,QT2WN2500657
b9f914603b25b524373fb30d1635d354,J(4_B_O)_B2502_NPQ8_02,QT2WN2500658
913e2544e3a47a4979d077f61cffd10d,PA(2_B_O)_D2502_HVMK01_01,QT2WN2500659
a6e6bf4cf7338c34dfc00e34b32d374e,PA(2_B_O)_D2502_HVMK01_02,QT2WN2500660
6b0f81d0bff71466b1be104e8cbc6870,PA(2_B_O)_E2502_HVMK01_01,QT2WN2500661
9a9d3906285778c5cf51b626d2811e5b,LTH2(R_B_O)_A0_HNK1_01,QT2WN2500662
aa0fd9165fde41035da491207f8021a9,LTH2(R_B_O)_A0_HNK1_02,QT2WN2500663
f81270bdcf59ed0a62b6f4b86eef974d,LTH2(R_B_O)_A0_LĐTK1_01,QT2WN2500664
b952fe498281e99ad2e372f8b775c301,LTH2(R_B_O)_A0_LĐTK1_02,QT2WN2500665
71ebab9b5c71db80305793225cde1dcc,LTH2(R_B_O)_B0_HQĐ1_01,QT2WN2500666
0000869b91899569fa45776915407731,LTH2(R_B_O)_B0_HQĐ1_02,QT2WN2500667
46a94bff9867febefdfbdf0ddc6adf0d,LTH2(R_B_O)_B0_HQĐ1_03,QT2WN2500668
fa7905da697147da478007e37779a7ed,KS(C_V_PD)_A2405_NMĐ01_01_Wheels on the Bus (Fix),QT2WN2500773
357a0ecad1f7f2a29ad7177ec9ef0494,KS(C_V_PD)_A2405_DKE07_01_Five Little Ducks (Fix),QT2WN2500774
27d5ed001b774c6ef63526d0016437fe,PBC(1_B_O)_A2503_IH01_01,QT2WN2500930
14e19e61e0e8656f46011ea0a40dc877,PBC(1_B_O)_A2503_IH01_03,QT2WN2500932
391ad8f62a82e897f3dc5b58f6cc5421,PBC(1_B_O)_A2503_IH01_07,QT2WN2500936
703847a03f3f57dc551603be9094ab20,PBC(1_B_O)_A2503_IH01_09,QT2WN2500938
b1bc6af0b034a05e527af8b500242067,L(2_B_O)_A2502_NKT01_01,QT2WN2500986
f2d5399f29cba7073efd5132e05665cc,L(2_B_O)_A2502_NKT01_02,QT2WN2500987
d02f0412e8ae17d7b84c98c2f58515d7,L(2_B_O)_A2502_NKT01_03,QT2WN2500988
da324f4381cebeb819b299426445a557,L(2_B_O)_A2502_NKT01_04,QT2WN2500989
62ef386b5dea1dd63fc00c8a9a20a391,L(2_B_O)_B2502_NKT01_01,QT2WN2500990
40101fddeecd5fa86bb5dd84b6852376,L(2_B_O)_B2502_NKT01_02,QT2WN2500991
3832c224864b51ab863daca91ae102bb,L(2_B_O)_B2502_NKT01_03,QT2WN2500992
b5c8dd8ce4b57d5aa62fd846cd943876,P(4_B_O)_C2502_IH0325_01,QT2WN2501014
3058ceb34ea2a7d3752265942b28ff65,P(4_B_O)_C2502_IH0325_02,QT2WN2501015
d52c3507b497cd69acbd1612aba1c1d0,P(4_B_O)_C2502_IH0325_03,QT2WN2501016
