ResourceFileInfoId,ToStatus,_source_id,_source_connection
7120d632-f6c9-418e-9f6b-9a570bd6d053,Archived,resource_storage_history,hg_stock
27dbef36-d17c-4a6d-8caf-163cc7288090,Archived,resource_storage_history,hg_stock
67b056bd-6859-4d3d-b6ff-64fdde8826d4,Archived,resource_storage_history,hg_stock
1bc2f2ab-d9cd-404c-a588-01cb531f66cb,Archived,resource_storage_history,hg_stock
7ddab7da-988f-4b17-8105-bd3c8dfcbb36,Archived,resource_storage_history,hg_stock
0587938a-ec76-442b-b97d-c15c865c7a37,Archived,resource_storage_history,hg_stock
997512a4-7f69-4516-8d02-9f7873ba6a4d,Archived,resource_storage_history,hg_stock
1e51fa3a-dc55-41d4-9c2b-377dd961f442,Archived,resource_storage_history,hg_stock
40e7e69c-d99b-4d55-bdd0-d12b6d8baa08,Archived,resource_storage_history,hg_stock
45398bc1-e1f5-47e3-935e-556c1c040037,Archived,resource_storage_history,hg_stock
4aa4bb70-0414-494c-aa7b-21097211f357,Archived,resource_storage_history,hg_stock
ac55ebdc-303d-4a36-9a33-94f41446d129,Archived,resource_storage_history,hg_stock
7fc804d2-a34d-4203-bfe7-6dd13063a7ce,Archived,resource_storage_history,hg_stock
7528c2dc-ae5b-4a72-b8b9-087364f03d7d,Archived,resource_storage_history,hg_stock
915af7aa-1074-4ce2-b97e-da1b814e8001,Archived,resource_storage_history,hg_stock
95bc8ea2-94b2-479f-8b89-e33ad23190f9,Archived,resource_storage_history,hg_stock
4e058baf-0462-47c6-945d-275258b7fea6,Archived,resource_storage_history,hg_stock
f9add983-0408-4e55-b8bf-fce8c7ae0d68,Archived,resource_storage_history,hg_stock
9cddd632-42ec-4a1d-bc7a-b86a275ffc64,Archived,resource_storage_history,hg_stock
9fe9227d-cb7e-4e17-afd5-5ab6718cb8ba,Archived,resource_storage_history,hg_stock
29859c3b-c643-4cf3-8374-7d7f71db9bde,Archived,resource_storage_history,hg_stock
f2d95089-e6cd-42ca-a3de-1546f673b9ae,Archived,resource_storage_history,hg_stock
d87d0ed9-3e61-4127-bc0b-1983df7251f5,Active,resource_storage_history,hg_stock
34f6b05b-b030-4722-81ff-2c74e268e423,Archived,resource_storage_history,hg_stock
e03e5621-ac06-41d2-b9cd-788a0001a0f3,Archived,resource_storage_history,hg_stock
85c11c57-6abb-485d-94af-9fe941b3323e,Archived,resource_storage_history,hg_stock
e5a8c677-13a7-4ea5-86e3-dc309fb15375,Archived,resource_storage_history,hg_stock
3f42e839-9928-46c4-9865-48f77d137b65,Archived,resource_storage_history,hg_stock
1399e1e7-c323-4706-8a7c-957d92331707,Archived,resource_storage_history,hg_stock
