fact_editing_sk,editing_id,editing_code,hg_stock_id,position,duration
d089924e9f702ede6db99d4314a42ad1,d0f48103-f7a6-43f8-b718-a1a3d9551ecb,HGED52734683ED004BB4B2FF600FA2F50AE9,HGFADC70F01BE29F4022868CDB936267B991,61,122016
d28713540edea14a20ef67e12f9514aa,d0f48103-f7a6-43f8-b718-a1a3d9551ecb,HGED52734683ED004BB4B2FF600FA2F50AE9,HGFAA613F12FA51B4D278EE4E26ADB62162B,62,112085
5811b24ea6a0a1f58046caed4b050930,d0f48103-f7a6-43f8-b718-a1a3d9551ecb,HGED52734683ED004BB4B2FF600FA2F50AE9,HGFADA39616E49844E099860E8D26D8542E5,63,223044
58cc73b86d36d230344b81d200a58d61,d0f48103-f7a6-43f8-b718-a1a3d9551ecb,HGED52734683ED004BB4B2FF600FA2F50AE9,HGFAFE0E39B90EC04E89B021A635A02B29DF,64,135033
3dbe2497dfd02ca6b90c2fc8566fb39b,d0f48103-f7a6-43f8-b718-a1a3d9551ecb,HGED52734683ED004BB4B2FF600FA2F50AE9,HGFA9FBC6C262D6D487690AB837F27835300,65,127081
a27aba5f9f2078831d2d729908bb0a9c,d0f48103-f7a6-43f8-b718-a1a3d9551ecb,HGED52734683ED004BB4B2FF600FA2F50AE9,HGFA9333F01161E348F6BBA72135E76F00F8,66,104093
73b83b478400128734103a69f882d10d,d0f48103-f7a6-43f8-b718-a1a3d9551ecb,HGED52734683ED004BB4B2FF600FA2F50AE9,HGFAA57326ACEA5943DD837D908E154D4446,67,189044
95ed3b3507aa5240caf2b5df8e558e1f,d0f48103-f7a6-43f8-b718-a1a3d9551ecb,HGED52734683ED004BB4B2FF600FA2F50AE9,HGFA7625F590FBBD4FEC9A102B6DAABC5005,68,122052
b6d3e14060f8911b3a7ef110922876e0,d0f48103-f7a6-43f8-b718-a1a3d9551ecb,HGED52734683ED004BB4B2FF600FA2F50AE9,HGFA6B1630EB12F7440E8F3EEF88D7513B62,69,137032
4c7e76f43df6de08bfdd604d29495d9a,d0f48103-f7a6-43f8-b718-a1a3d9551ecb,HGED52734683ED004BB4B2FF600FA2F50AE9,HGFA3DBBE6572C1B45B3BCCDF66AA3384C74,70,184027
2bac73b59f179a954ee5ea0337894b36,d0f48103-f7a6-43f8-b718-a1a3d9551ecb,HGED52734683ED004BB4B2FF600FA2F50AE9,HGFA5233005E009B4FEFB6BA225978B92E27,71,238016
66618908501912690b2ac0187ccac3a4,d0f53bd5-9bb2-40cc-a4aa-bc7adddf7829,HGEDDEBC733C54324563BE3899ECFDFF304C,HGFAF2D026722B7643869F76B36A65850874,1,253586
6b8d8a0d1ab0284f52a5e0ee422de3c3,d0f53bd5-9bb2-40cc-a4aa-bc7adddf7829,HGEDDEBC733C54324563BE3899ECFDFF304C,HGFA616F6DAAEC09458D855DBA22C11CAACB,2,222189
521bf01f9b91cb0f75855ad35ea91b76,d0f53bd5-9bb2-40cc-a4aa-bc7adddf7829,HGEDDEBC733C54324563BE3899ECFDFF304C,HGFAD51B9EEFA9A54EA2A687D82A19128A79,3,298298
6fd01c51f9738beef91fd78477bd9baa,d0f53bd5-9bb2-40cc-a4aa-bc7adddf7829,HGEDDEBC733C54324563BE3899ECFDFF304C,HGFA570A36A6AA444908826A44F4C9B458F7,4,242109
0fe54b185fcf67958aa2c02aae6c8ee4,d0f54426-5ca2-4a9a-9591-e18df83202c5,HGED4F287D22BBD34911AD8EF6DDE294FCF3,HGFA230EDD26DD7F44A7BC05E77F13F9BD61,1,185852
