fact_khsx_detail_sk,production_plan_detail_id,production_plan_id,production_manager,ar_manager,status
6faa8040da20ef399b63a72d0e4ab575,329,9,30,39,draft
65658fde58ab3c2b6e5132a39fae7cb9,536,9,33,47,draft
ae1d2c2d957a01dcb3f3b39685cdb4fa,2987,39,33,37,draft
160c88652d47d0be60bfbfed25111412,1190,12,33,45,draft
b20bb95ab626d93fd976af958fbc61ba,1191,12,33,45,draft
52292e0c763fd027c6eba6b8f494d2eb,1192,12,33,45,draft
7d04bbbe5494ae9d2f5a76aa1c00fa2f,486,9,32,44,draft
c058f544c737782deacefa532d9add4c,359,9,33,39,draft
6a10bbd480e4c5573d8f3af73ae0454b,635,9,33,47,draft
5be278a9e02bed9248a4674ff62fea2c,2785,39,31,37,draft
fb3f76858cb38e5b7fd113e0bc1c0721,2786,39,31,37,draft
addfa9b7e234254d26e9c7f2af1005cb,855,10,33,43,draft
8c235f89a8143a28a1d6067e959dd858,856,10,33,43,draft
fe70c36866add1572a8e2b96bfede7bf,1463,19,31,39,draft
c913303f392ffc643f7240b180602652,1464,19,31,39,draft
372d3f309fef061977fb2f7ba36d74d2,1465,19,31,39,draft
5ef0b4eba35ab2d6180b0bca7e46b6f9,475,9,30,44,draft
6d9cb7de5e8ac30bd5e8734bc96a35c1,1466,19,31,39,draft
cfecdb276f634854f3ef915e2e980c31,190,9,30,35,draft
af44c4c56f385c43f2529f9b1b018f6a,2971,39,31,37,approved
0a113ef6b61820daa5611c870ed8d5ee,888,10,31,49,draft
07871915a8107172b3b5dc15a6574ad3,889,10,31,49,draft
024d7f84fff11dd7e8d9c510137a2381,890,10,31,49,draft
7dcd340d84f762eba80aa538b0c527f7,542,9,33,47,draft
7bcdf75ad237b8e02e301f4091fb6bc8,538,9,33,47,draft
cfbce4c1d7c425baf21d6b6f2babe6be,891,10,31,49,draft
88e1ce84f9feef5a08d0df0334c53468,3244,45,33,37,draft
b445e314138101eecc58503e98aa2b2d,3365,45,33,35,approved
c2aee86157b4a40b78132f1e71a9e6f1,892,10,31,49,draft
d56b9fc4b0f1be8871f5e1c40c0067e7,893,10,31,50,draft
4b0250793549726d5c1ea3906726ebfe,894,10,31,50,draft
20aee3a5f4643755a79ee5f6a73050ac,895,10,31,50,draft
061412e4a03c02f9902576ec55ebbe77,896,10,31,50,draft
01882513d5fa7c329e940dda99b12147,899,10,31,50,draft
a64c94baaf368e1840a1324e839230de,898,10,31,50,draft
0245952ecff55018e2a459517fdb40e3,1467,19,31,39,draft
cec6f62cfb44b1be110b7bf70c8362d8,1468,19,31,39,draft
