id,sequence,expected_employees,no_of_employee,no_of_recruitment,department_id,company_id,contract_type_id,create_uid,write_uid,name,description,requirements,active,create_date,write_date,_source_id,_source_connection,_batch_id,_loaded_at
18,10,2,1,1,,,,6,6,"{""en_US"": ""Admin kế toán"", ""vi_VN"": ""Admin kế toán""}",,,t,2025-08-18 09:52:20.10818,2025-09-01 16:04:55.701512,hr_job,odoo_pg,hr_job_20260822_051820,2026-08-22 05:18:20.715853
99,10,1,0,1,,,,6,6,"{""en_US"": ""Marketing Assistant Manager"", ""vi_VN"": ""Marketing Assistant Manager""}",,,t,2025-09-10 16:12:13.928772,2025-09-21 17:37:00.707657,hr_job,odoo_pg,hr_job_20260822_051820,2026-08-22 05:18:20.715853
19,10,2,1,1,,,,6,6,"{""en_US"": ""Trưởng phòng VHYT"", ""vi_VN"": ""Trưởng phòng VHYT""}",,,t,2025-08-18 16:39:40.728752,2025-09-01 16:04:55.701512,hr_job,odoo_pg,hr_job_20260822_051820,2026-08-22 05:18:20.715853
20,10,2,1,1,,,,6,6,"{""en_US"": ""Trưởng nhóm VHYT"", ""vi_VN"": ""Trưởng nhóm VHYT""}",,,t,2025-08-18 16:39:44.12878,2025-09-01 16:04:55.701512,hr_job,odoo_pg,hr_job_20260822_051820,2026-08-22 05:18:20.715853
47,10,3,2,1,,,,6,6,"{""en_US"": ""Postproduction Audio Specialist"", ""vi_VN"": ""Postproduction Audio Specialist""}",,,t,2025-08-18 17:49:26.327908,2025-09-21 17:37:00.707657,hr_job,odoo_pg,hr_job_20260822_051820,2026-08-22 05:18:20.715853
118,10,1,0,1,,,,6,6,"{""en_US"": ""Facebook"", ""vi_VN"": ""Facebook""}",,,t,2025-09-10 16:12:13.928772,2025-09-21 17:37:00.707657,hr_job,odoo_pg,hr_job_20260822_051820,2026-08-22 05:18:20.715853
21,10,2,1,1,,,,6,6,"{""en_US"": ""Senior VHYT"", ""vi_VN"": ""Senior VHYT""}",,,t,2025-08-18 16:39:55.629757,2025-09-01 16:04:55.701512,hr_job,odoo_pg,hr_job_20260822_051820,2026-08-22 05:18:20.715853
22,10,4,3,1,,,,6,6,"{""en_US"": ""Trưởng nhóm VHYT"", ""vi_VN"": ""Nhân sự VHYT""}",,,t,2025-08-18 16:40:22.379964,2025-09-01 16:04:55.701512,hr_job,odoo_pg,hr_job_20260822_051820,2026-08-22 05:18:20.715853
25,10,4,3,1,,,,6,6,"{""en_US"": ""Quản lý SEO Youtube"", ""vi_VN"": ""Quản lý SEO Youtube""}",,,t,2025-08-18 17:36:45.959127,2025-09-01 16:04:55.701512,hr_job,odoo_pg,hr_job_20260822_051820,2026-08-22 05:18:20.715853
69,10,1,0,1,,,,6,6,"{""en_US"": ""CEO"", ""vi_VN"": ""CEO""}",,,t,2025-09-01 16:01:58.432067,2025-09-01 16:04:55.701512,hr_job,odoo_pg,hr_job_20260822_051820,2026-08-22 05:18:20.715853
