id,project_id,product_genre_id,product_tmpl_id,sequence_id,create_uid,write_uid,order_type,name,subgenre_code,genre_code,description,brief_link,sample_link,note,create_date,write_date,seq,text_code,backstage_ok,temp_sequence_id,_source_id,_source_connection,_batch_id,_loaded_at
323,130,625,345,352,2408,1,video,Ngoài biển,ĐC_107_NB_122,ĐC_107,,,,,2025-09-19 04:33:10.019557,2025-10-10 01:13:50.580926,122,,,,x_product_subgenre,odoo_pg,x_product_subgenre_20260822_052022,2026-08-22 05:20:23.602858
322,130,625,344,353,2408,1,video,Trong nhà,ĐC_107_TN_121,ĐC_107,,,,,2025-09-19 04:32:46.846689,2025-10-10 01:13:50.580926,121,,,,x_product_subgenre,odoo_pg,x_product_subgenre_20260822_052022,2026-08-22 05:20:23.602858
318,112,629,347,355,6,1,video,Jazz HN,PC_111_JH_116,,,,,,2025-09-10 15:17:07.414832,2025-10-10 01:13:50.580926,116,,,,x_product_subgenre,odoo_pg,x_product_subgenre_20260822_052022,2026-08-22 05:20:23.602858
317,112,627,349,356,6,1,video,Jazz 9,PC_109_J9_115,,,,<p>https://prnt.sc/_23tCowQoOs5</p>,"Cốc cà phê cận cảnh, tone cổ điển",2025-09-10 15:17:07.414832,2025-10-10 01:13:50.580926,115,,,,x_product_subgenre,odoo_pg,x_product_subgenre_20260822_052022,2026-08-22 05:20:23.602858
316,112,627,320,357,6,1,video,Jazz 6,PC_109_J6_114,,,,<p>https://prnt.sc/bx-zfxqGZNfK</p>,"Cốc cà phê cận cảnh, tone tươi sáng",2025-09-10 15:17:07.414832,2025-10-10 01:13:50.580926,114,,,,x_product_subgenre,odoo_pg,x_product_subgenre_20260822_052022,2026-08-22 05:20:23.602858
315,112,627,348,358,6,1,video,Jazz 3,PC_109_J3_113,,,,<p>https://prnt.sc/l041UC8TADYX</p>,"Không gian quán cà phê góc rộng, dựng 3D",2025-09-10 15:17:07.414832,2025-10-10 01:13:50.580926,113,,,,x_product_subgenre,odoo_pg,x_product_subgenre_20260822_052022,2026-08-22 05:20:23.602858
314,137,616,,359,6,1,video,Indoor Wide,M_98_IW_112,,,,,"Cảnh rộng, quay trong studio",2025-09-10 15:17:07.414832,2025-10-10 01:13:50.580926,112,,,,x_product_subgenre,odoo_pg,x_product_subgenre_20260822_052022,2026-08-22 05:20:23.602858
313,137,616,342,360,6,1,video,Outdoor Wide,M_98_OW_111,,,,,"Cảnh rộng, ngoài trời",2025-09-10 15:17:07.414832,2025-10-10 01:13:50.580926,111,,,,x_product_subgenre,odoo_pg,x_product_subgenre_20260822_052022,2026-08-22 05:20:23.602858
312,137,616,326,361,6,1,video,Outdoor Close,M_98_OC_110,,,,<p>https://prnt.sc/BrlhrVVATrIe</p>,"Cảnh hẹp, ngoài trời",2025-09-10 15:17:07.414832,2025-10-10 01:13:50.580926,110,,,,x_product_subgenre,odoo_pg,x_product_subgenre_20260822_052022,2026-08-22 05:20:23.602858
460,,724,1287,,59,76,footage,BTS - Gimbal,HAĐ_172_B-G_173,HAĐ_172,,,,,2026-04-06 08:51:49.801942,2026-04-06 08:56:37.289527,0,,f,,x_product_subgenre,odoo_pg,x_product_subgenre_20260822_052022,2026-08-22 05:20:23.602858
447,154,719,1126,589,34,6,music,Neo Classical - 2 - Label | Reflective Piano,NC2(L_B_O)_A,NC2(L_B_O),,,"<div data-oe-version=""1.2""><a href=""https://www.youtube.com/watch?v=rmxWd8SZB0k"">https://www.youtube.com/watch?v=rmxWd8SZB0k</a></div>",,2026-03-13 04:15:43.800161,2026-06-08 01:37:45.039166,0,A,f,,x_product_subgenre,odoo_pg,x_product_subgenre_20260822_052022,2026-08-22 05:20:23.602858
